feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,practical_auc,decision
lat,469654,0.0,1393,0.9239589144348819,-0.014268644421792941,1.386273462254417e-22,-0.012682246583130238,0.5138118564853502,0.5090061210820955,0.5013656838882342,0.5464282949671886,0.08957407373864457,0.5090061210820955,DROP_LIKELY
lng,469654,0.0,1393,0.9239589144348819,0.028596525641697547,1.500474891435878e-85,0.025970649522571793,0.5282838543139848,0.5336493862800369,0.5024165434285505,0.5643929856987085,0.08886157268517603,0.5282838543139848,DROP_LIKELY
dist_from_daegu_center_km,469654,0.0,1399,0.9239589144348819,0.020944520317327867,9.899727889302924e-47,0.045565409293033925,0.5496239283931594,0.5327190462716557,0.5003322429889386,0.5689350089832288,0.08992077009324051,0.5327190462716557,DROP_LIKELY
available_count,469654,0.0,12,0.9239589144348819,0.24964565996605567,0.0,0.3387215964030579,0.8317769015594652,0.8195973123112905,0.7920177045755841,0.8463748330727369,0.07986971741377924,0.8195973123112905,BASELINE_REF
horizon_minutes,469654,0.0,4,0.9239589144348819,0.04233626458666566,3.044370499611913e-185,0.0402031616782171,0.5423522422944074,0.5475606108904402,0.5247264187941136,0.5787580324372225,0.004553197286532029,0.5423522422944074,BASELINE_REF
observation_age_minutes,469654,0.0,546,0.9239589144348819,-0.07840942133428508,0.0,-0.09036856500598549,0.5729661391064163,0.5974184184040774,0.5645581118304001,0.6253103991177328,0.004622331307036154,0.5729661391064163,BASELINE_REF
