left_horizon_minutes,right_horizon_minutes,left_rows,right_rows,overlap_rows,overlap_rate_vs_smaller_horizon,same_label_rows,same_label_rate_within_overlap,different_label_rows,same_target_time_rows
5,10,238148,233492,230072,0.985353,228851,0.994693,1221,0
5,15,238148,214007,203036,0.948735,195399,0.962386,7637,0
5,30,238148,187053,167887,0.897537,153716,0.915592,14171,0
10,15,233492,214007,202597,0.946684,196204,0.968445,6393,0
10,30,233492,187053,168844,0.902653,155651,0.921863,13193,0
15,30,214007,187053,172920,0.924444,165304,0.955957,7616,0
