date,snapshot_count,raw_rows,duplicate_extra_rows,duplicate_rate,conflicting_status_groups,cadence_median_minutes,cadence_p95_minutes,first_snapshot_kst,latest_snapshot_kst,latest_snapshot_age_minutes_at_report
2026-07-17,33,17362,0,0.0,0,15.02,15.05,2026-07-17T13:41:56,2026-07-17T21:40:00,32648.7
2026-07-18,62,31311,64,0.002044,0,15.02,15.07,2026-07-18T07:20:11,2026-07-18T22:36:21,31152.3
2026-07-19,55,25276,91,0.0036,1,15.02,15.13,2026-07-19T07:49:27,2026-07-19T21:02:33,29806.1
2026-07-20,64,29345,11,0.000375,0,12.55,15.13,2026-07-20T08:14:32,2026-07-20T22:41:15,28267.4
2026-07-21,72,33368,26,0.000779,0,10.02,10.17,2026-07-21T08:30:39,2026-07-21T22:53:13,26815.4
2026-07-22,94,44922,8,0.000178,0,10.02,10.22,2026-07-22T08:18:54,2026-07-22T23:55:43,25312.9
2026-07-23,192,84901,290,0.003416,3,5.02,5.14,2026-07-23T00:00:44,2026-07-23T16:26:24,24322.3
2026-07-24,182,85660,124,0.001448,0,5.08,10.07,2026-07-24T00:01:27,2026-07-24T21:59:38,22549.0
2026-07-25,148,78038,217,0.002781,1,10.02,10.07,2026-07-25T07:49:07,2026-07-25T23:54:57,20993.7
2026-07-26,143,66314,40,0.000603,0,10.02,10.05,2026-07-26T00:04:58,2026-07-26T23:50:07,19558.5
2026-07-27,144,69173,241,0.003484,0,10.02,10.1,2026-07-27T00:00:08,2026-07-27T23:56:26,18112.2
2026-07-28,144,67542,180,0.002665,1,10.02,10.16,2026-07-28T00:06:26,2026-07-28T23:53:52,16674.8
2026-07-29,143,69654,117,0.00168,1,10.02,10.1,2026-07-29T00:03:53,2026-07-29T23:50:30,15238.2
2026-07-30,144,72475,173,0.002387,1,10.02,10.13,2026-07-30T00:00:31,2026-07-30T23:58:14,13790.4
2026-07-31,144,70242,96,0.001367,2,10.02,10.08,2026-07-31T00:08:15,2026-07-31T23:56:18,12352.4
2026-08-01,143,69060,52,0.000753,0,10.02,10.1,2026-08-01T00:06:21,2026-08-01T23:53:02,10915.6
2026-08-02,144,67720,129,0.001905,1,10.02,10.08,2026-08-02T00:03:03,2026-08-02T23:59:33,9469.1
2026-08-03,143,68411,65,0.00095,0,10.02,10.03,2026-08-03T00:09:34,2026-08-03T23:54:09,8034.5
2026-08-04,144,68458,26,0.00038,0,10.02,10.02,2026-08-04T00:04:09,2026-08-04T23:58:09,6590.5
2026-08-05,143,68494,543,0.007928,3,10.02,10.03,2026-08-05T00:08:10,2026-08-05T23:52:32,5156.1
2026-08-06,144,71465,282,0.003946,3,10.02,10.03,2026-08-06T00:02:32,2026-08-06T23:57:22,3711.3
2026-08-07,143,70916,224,0.003159,2,10.02,10.05,2026-08-07T00:07:22,2026-08-07T23:53:25,2275.2
2026-08-08,144,70502,64,0.000908,2,10.02,10.05,2026-08-08T00:03:25,2026-08-08T23:58:50,829.8
2026-08-09,44,15102,51,0.003377,1,10.0,10.03,2026-08-09T00:08:50,2026-08-09T07:23:21,385.3
