pr_auc,roc_auc,brier,neg_recall,n,pos_rate,block,date_min,date_max
0.9439500105898229,0.7710378597851646,0.2006523563967541,0.7159016393442623,73183,0.8332946176024486,1,2026-07-17 00:00:00,2026-07-24 00:00:00
0.9739838161506164,0.8395209410558312,0.16244105747698384,0.8087431693989071,197944,0.8825880046881946,2,2026-07-25 00:00:00,2026-08-01 00:00:00
0.9820361664752755,0.8599416783157481,0.15195014314560387,0.8297895480994073,182703,0.8993503117080727,3,2026-08-02 00:00:00,2026-08-08 00:00:00
