hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,43,11,87.49,12.02,0.49,12.51,40.07,40.12
1,43,11,89.11,10.58,0.31,10.89,40.78,40.85
2,44,11,90.15,9.38,0.46,9.85,41.37,41.39
3,44,11,91.57,8.24,0.19,8.43,42.01,42.0
4,43,11,92.05,7.69,0.26,7.95,42.25,42.25
5,44,11,91.46,8.27,0.27,8.54,41.87,41.85
6,43,11,88.77,10.64,0.59,11.23,40.6,40.52
7,45,12,81.77,16.66,1.57,18.23,38.29,38.49
8,49,12,68.32,27.8,3.88,31.68,34.36,33.77
9,47,12,66.59,29.27,4.13,33.41,33.73,33.2
10,47,12,63.1,32.55,4.35,36.9,32.85,32.38
11,48,12,61.22,33.44,5.34,38.78,32.51,32.15
12,48,12,61.85,33.02,5.13,38.15,32.72,32.52
13,48,12,61.38,33.79,4.83,38.62,32.5,32.48
14,46,12,59.49,35.22,5.29,40.51,31.96,31.78
15,47,12,58.73,35.46,5.81,41.27,31.68,31.37
16,48,13,56.41,36.33,7.25,43.59,31.06,30.68
17,52,13,52.93,37.58,9.49,47.07,30.24,29.66
18,47,12,51.21,34.91,13.88,48.79,29.57,28.32
19,48,12,64.36,29.47,6.17,35.64,33.21,33.94
20,56,13,72.76,25.02,2.22,27.24,35.22,35.28
21,49,12,76.31,21.72,1.96,23.69,36.16,36.06
22,48,12,79.92,18.84,1.24,20.08,37.23,37.17
23,44,11,85.1,13.96,0.94,14.9,39.1,38.9
