hour,mean_pct,median_pct,ticks,days
0,49.71200731755459,53.245192307692314,71,10
1,48.14548885118084,51.28841153171164,72,10
2,48.93023632519237,51.85637171949738,72,10
3,50.192311886876965,52.57512027409102,72,10
4,51.657921681856735,53.73011291436033,72,10
5,54.2328806379302,56.18881090603237,72,10
6,58.4788826130521,59.7364249408179,72,10
7,68.63926652472576,66.65066994116367,92,13
8,75.5335545409432,77.0166275353696,124,16
9,76.68101413437832,77.76119402985074,91,15
10,78.18221103956611,79.25997084742329,90,15
11,78.90614008537021,81.06137458787725,89,15
12,78.78765016478779,81.5993013972056,89,15
13,78.09567737924718,81.28381476386978,91,16
14,76.74788722704162,80.70747967405508,94,16
15,75.3533498312123,78.65466776979505,98,16
16,72.09807674907593,71.71514543630893,89,16
17,69.92382570301837,73.22654462242562,79,15
18,67.36725647604372,70.17305524045914,66,12
19,62.27086765300583,64.20624942046597,66,12
20,55.703425099249856,56.4442351674963,81,15
21,50.3258895978615,52.76565540755509,84,15
22,47.44794871925805,52.56521449062645,73,12
23,48.89649341531408,53.54384753260896,60,9
