statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
EZ001447,2026-07-31T08:12:11+09:00,더펜트하우스,대구광역시 수성구 파동로26길 26,35.8198337,128.6185492,True,3,0,0,3,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,0,202.6,,,,,155-1-000197,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
HM000763,2026-07-31T08:12:11+09:00,우방대자연1차,대구광역시 수성구 파동로 120,35.8142248,128.6159837,True,4,3,4,0,0.75,0.0,True,18.016666666666666,CHECK_REQUIRED,10.016666666666667,NORMAL,NORMAL,NORMAL,Y,Y,True,False,False,,,,,,False,,0,98.2,,,,,155-2-000048,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
PW012453,2026-07-31T08:12:11+09:00,삼도더펜트하우스수성입주자대표회의,대구광역시 수성구 파동로26길 26,35.819516835,128.6184509,True,5,0,0,5,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,Y,True,False,False,,,,,,False,,0,198.8,,,,,155-1-000197,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
PW801566,2026-07-31T08:12:11+09:00,더펜트하우스수성입주자대표회의(SPB),대구광역시 수성구 파동로26길 26,35.819516888,128.61846705,True,5,1,5,0,0.2,0.0,True,12.466666666666669,NORMAL,10.016666666666667,NORMAL,NORMAL,NORMAL,Y,Y,True,False,False,,,,,,False,,0,200.2,,,,,155-1-000197,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
