statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
ME25C167,2026-07-31T08:12:11+09:00,학산공원 삼거리 주차장,대구광역시 달서구 본동 1118,35.8324695,128.5386968,True,1,1,1,0,1.0,0.0,True,5.083333333333333,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,15.2,,,,,156-2-000023,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
BNBN0585,2026-07-31T08:12:11+09:00,대구 새본리중학교,"대구 달서구 대명천로 167 (본리동, 새본리중학교)",35.8392164,128.540979,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,0,130.1,,,,,156-1-000107,False,,,,False,team5_pis,,1560092900.0,234.9,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
CV002144,2026-07-31T08:12:11+09:00,올림픽기념국민생활관,대구광역시 달서구 학산로 130,35.8335919,128.5409839,True,3,2,3,0,0.6666666666666666,0.0,True,6.766666666666667,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,78.2,,,,,156-2-000024,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
CV003115,2026-07-31T08:12:11+09:00,대구시_본동행정복지센터,대구광역시 달서구 구마로26길 62,35.834448,128.541055,True,1,1,1,0,1.0,0.0,True,841.3333333333334,CHECK_REQUIRED,835.0,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,많음,1.90020366598778,1.9421487603305785,1.78125,완속,True,,1,19.0,,,,,156-2-000024,False,,,,False,team5_pis,,1560092900.0,339.4,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
EP190050,2026-07-31T08:12:11+09:00,달서구 펠리체(한명화),대구광역시 달서구 와룡로16길 27-3,35.8394306,128.5385444,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,Y,True,False,False,,,,,,False,,1,301.3,,,,,156-2-000101,False,,,,False,team5_pis,,1560037500.0,140.4,25.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
EZ002091,2026-07-31T08:12:11+09:00,대구공업대학교_위니텍,대구광역시 달서구 송현로 205,35.8351184,128.5419565,True,3,0,0,3,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,1,85.3,,,,,156-1-000023,False,,,,False,team5_pis,,1560092900.0,249.6,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
EZ002092,2026-07-31T08:12:11+09:00,대구공업대학교_평생교육원,대구광역시 달서구 송현로 205,35.835415,128.54285,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,1,139.1,,,,,156-1-000023,False,,,,False,team5_pis,,1560092900.0,223.2,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
HM001818,2026-07-31T08:12:11+09:00,아카시아아파트,대구광역시 달서구 대명천로 153,35.8379774,128.5421457,True,3,3,3,0,1.0,0.0,True,169.86666666666667,CHECK_REQUIRED,160.61666666666667,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,175.0,,,,,156-1-000107,False,,,,False,team5_pis,,1560092900.0,69.6,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
IN053047,2026-07-31T08:12:11+09:00,월성5단지아파트,대구광역시 달서구 구마로12길 89,35.8323,128.5364,True,16,0,0,16,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,Y,True,True,False,,,,,,False,,1,,,,,,,,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
KP003772,2026-07-31T08:12:11+09:00,학산근린공원삼거리주차장,대구광역시 달서구 학산로 104-11,35.832327247798,128.5385782094,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,1,16.0,,,,,156-2-000023,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
KP003780,2026-07-31T08:12:11+09:00,달서구노인종합복지관,대구광역시 달서구 학산로 140,35.833430625158,128.5417838845,True,1,1,1,0,1.0,0.0,True,4241.75,CHECK_REQUIRED,4232.483333333334,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,89.3,,,,,156-2-000027,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
LU003218,2026-07-31T08:12:11+09:00,주식회사청명건설,대구광역시 달서구 구마로 89,35.837841,128.537598,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,1,189.7,,,,,156-2-000101,False,,,,False,team5_pis,,1560093100.0,143.9,26.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
LU004186,2026-07-31T08:12:11+09:00,본리동한신아파트,대구광역시 달서구 와룡로14길 53,35.838306,128.540909,True,3,2,3,0,0.6666666666666666,0.0,True,117.56666666666666,CHECK_REQUIRED,110.51666666666668,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,0,190.0,,,,,156-1-000107,False,,,,False,team5_pis,,1560092900.0,157.9,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
LU101542,2026-07-31T08:12:11+09:00,빌리브클라쎄아파트,대구광역시 달서구 와룡로 41,35.8364656,128.5363571,True,6,3,6,0,0.5,0.0,True,6.85,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,True,False,,,,,,False,,1,161.6,,,,,156-2-000025,False,,,,False,team5_pis,,1560082400.0,272.0,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PC001562,2026-07-31T08:12:11+09:00,달서코아루더리브(대구),대구광역시 달서구 와룡로 42,35.8362882,128.5374954,True,6,4,6,0,0.6666666666666666,0.0,True,2.2,HIGH,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,1,167.2,,,,,156-2-000101,False,,,,False,team5_pis,,1560082400.0,193.6,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PIS00571,2026-07-31T08:12:11+09:00,대구 달서구 월성5단지아파트,대구광역시 달서구 구마로12길 89,35.8323,128.5364,True,16,11,16,0,0.6875,0.0,True,23.75,CHECK_REQUIRED,20.05,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,145.0,,,,,156-2-000026,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
PW010451,2026-07-31T08:12:11+09:00,유림노르웨이아침,대구광역시 달서구 구마로 97,35.8378288,128.5383673,True,10,5,9,1,0.5555555555555556,0.1,True,147.05,CHECK_REQUIRED,140.56666666666666,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,1,140.9,,,,,156-2-000101,False,,,,False,team5_pis,,1560093100.0,77.9,26.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
PW101126,2026-07-31T08:12:11+09:00,유림노르웨이아침아파트,대구광역시 달서구 구마로 97,35.837827286,128.5383658,True,1,1,1,0,1.0,0.0,True,5672.05,CHECK_REQUIRED,5668.566666666667,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,True,True,,,,,,False,,1,140.9,,,,,156-2-000101,False,,,,False,team5_pis,,1560093100.0,78.0,26.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
PWE02950,2026-07-31T08:12:11+09:00,유림노르웨이아침아파트,대구광역시 달서구 구마로 97,35.83783,128.53837,True,3,0,1,2,0.0,0.6666666666666666,False,6315.816666666667,CHECK_REQUIRED,6312.15,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,140.9,,,,,156-2-000101,False,,,,False,team5_pis,,1560093100.0,77.8,26.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
SF001285,2026-07-31T08:12:11+09:00,달서유림 노르웨이숲,대구광역시 달서구 와룡로 67,35.83879514,128.53622362,True,23,9,10,13,0.9,0.5652173913043478,True,302.53333333333336,CHECK_REQUIRED,301.1333333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,N,N,False,False,True,,,,,,False,,1,352.8,,,,,156-2-000101,False,,,,False,team5_pis,,1560037600.0,117.9,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
SF002583,2026-07-31T08:12:11+09:00,달서유림 노르웨이숲 (완속충전기),대구광역시 달서구 와룡로 67,35.8387951,128.5362236,True,4,4,4,0,1.0,0.0,True,380.45,CHECK_REQUIRED,371.3,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,352.8,,,,,156-2-000101,False,,,,False,team5_pis,,1560037600.0,117.9,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
