hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,4,1,87.53,11.86,0.61,12.47,40.08,39.89
1,4,1,88.26,11.19,0.55,11.74,40.83,40.88
2,4,1,90.18,9.44,0.37,9.82,41.4,41.3
3,4,1,91.97,7.84,0.19,8.03,42.03,41.97
4,4,1,91.44,8.24,0.32,8.56,42.18,42.12
5,4,1,91.4,8.34,0.26,8.6,41.92,41.95
6,4,1,89.09,10.2,0.7,10.91,40.59,40.4
7,4,1,77.83,19.88,2.28,22.17,37.26,37.2
8,4,1,55.37,38.73,5.9,44.63,30.96,30.36
9,4,1,58.02,35.84,6.14,41.98,31.42,31.49
10,4,1,61.67,34.3,4.03,38.33,32.4,32.38
11,4,1,62.62,33.32,4.07,37.38,32.85,32.86
12,4,1,63.55,32.83,3.62,36.45,33.24,33.12
13,4,1,62.34,33.88,3.79,37.66,32.75,32.61
14,4,1,59.9,35.3,4.8,40.1,31.78,31.78
15,4,1,55.93,39.17,4.9,44.07,31.08,31.1
16,5,2,53.71,38.4,7.89,46.29,30.42,30.46
17,8,2,49.79,39.7,10.51,50.21,29.21,28.96
18,4,1,42.76,37.08,20.17,57.24,27.17,27.16
19,4,1,60.96,31.8,7.24,39.04,32.12,32.04
20,12,2,73.46,24.33,2.2,26.54,35.34,35.22
21,5,1,76.91,21.0,2.09,23.09,36.29,36.41
22,4,1,79.73,18.95,1.31,20.27,37.22,37.06
23,4,1,85.32,13.79,0.89,14.68,39.17,38.92
