feature,decision,role,directional_auc,loo_d_valid_pr_auc,loo_d_valid_neg_recall
available_count,RETAIN_FINAL,HGB model input,0.7041066316565477,-0.0026345678642787,-0.0494292363958771
total_chargers,RETAIN_FINAL,HGB model input,0.6965110252148294,-2.2402709527913345e-05,0.0027706971073921
known_charger_count,RETAIN_FINAL,HGB model input,0.6753966115107892,-2.155352017130241e-05,0.0006649673057741
observation_coverage,RETAIN_FINAL,HGB model input,0.5653270499673163,-5.252050198656377e-05,-0.0005541394214784
hour,RETAIN_FINAL,HGB model input,0.5599244304882856,-0.0035718012451771,0.0558572536850271
weekday,RETAIN_FINAL,HGB model input,0.5160674966731791,-0.0003156677782619,0.0151834201485093
avail_rate_lag_15m,RETAIN_FINAL,HGB model input,0.5063100740698607,-0.0010564115936971,0.0
avail_rate_lag_60m,RETAIN_FINAL,HGB model input,0.5159632416232125,-0.0004792900312675,0.0045439432561232
tmap_eta_min,RETAIN_FINAL,HGB model input,0.5486856360581278,,
