Unnamed: 0,available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min
available_count,1.0,0.7036065453890893,0.9187665065446122,0.0246209159533396,0.0008307971108189,0.0086518360977645,-0.0124049585717248,0.005050328384701,-0.0125555252536614
total_chargers,0.7036065453890893,1.0,0.7644242924428529,-0.394297549024579,-0.0020435888204323,-0.0014733957016587,-0.1885771451939101,-0.1450197559018782,-0.055776459149409
known_charger_count,0.9187665065446122,0.7644242924428529,1.0,0.0240367495370974,0.008750410837036,0.0124159703168371,-0.222029556939719,-0.1646631513658553,-0.0198035534707464
observation_coverage,0.0246209159533396,-0.394297549024579,0.0240367495370974,1.0,0.0175126112862084,0.018526157413444,-0.0090537460440322,-0.0018789420123851,0.0491253628173395
hour,0.0008307971108189,-0.0020435888204323,0.008750410837036,0.0175126112862084,1.0,0.0035147670346199,-0.0538203054665154,-0.0563876053408782,-0.013798420869736
weekday,0.0086518360977645,-0.0014733957016587,0.0124159703168371,0.018526157413444,0.0035147670346199,1.0,-0.0018402053904015,0.0009613518499156,0.0052031888181865
avail_rate_lag_15m,-0.0124049585717248,-0.1885771451939101,-0.222029556939719,-0.0090537460440322,-0.0538203054665154,-0.0018402053904015,1.0,0.6214273281448984,0.048723285522404
avail_rate_lag_60m,0.005050328384701,-0.1450197559018782,-0.1646631513658553,-0.0018789420123851,-0.0563876053408782,0.0009613518499156,0.6214273281448984,1.0,0.0564206894806063
tmap_eta_min,-0.0125555252536614,-0.055776459149409,-0.0198035534707464,0.0491253628173395,-0.013798420869736,0.0052031888181865,0.048723285522404,0.0564206894806063,1.0
