spec,train_pr_auc,valid_pr_auc,test_pr_auc,gap_train_valid_pr,gap_train_test_pr,gap_valid_test_pr,train_neg_recall,valid_neg_recall,test_neg_recall,gap_train_test_neg,train_brier,valid_brier,test_brier,gap_train_test_brier,n_features,n_iter,features,max_depth,max_iter
depth3_iter50,0.966921301324152,0.9769490134337347,0.9782500593471534,-0.0100277121095829,-0.0113287580230014,-0.0013010459134185,0.8114946779007421,0.8298791976061177,0.7980132450331126,0.0134814328676295,0.1888723331429047,0.172081620811543,0.1687272928783801,-0.0201450402645246,9,50,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",3,50
depth3_iter200,0.97079182127112,0.9798388325468516,0.979971773775054,-0.0090470112757317,-0.0091799525039339,-0.0001329412282022,0.805816011198859,0.8159148841848609,0.8197523754678951,-0.0139363642690361,0.180811692204788,0.1620510701610689,0.170033393118615,-0.010778299086173,9,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",3,200
depth3_iter500,0.9732278540918852,0.980941733509496,0.9808381818591856,-0.007713879417611,-0.0076103277673004,0.0001035516503106,0.8193127492670558,0.8263327053086557,0.8269507630290814,-0.0076380137620256,0.1751480233110382,0.1564119126623229,0.1666341333480009,-0.0085138899630373,9,500,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",3,500
depth6_iter50,0.9711390903074036,0.9798990267679394,0.9796880695079776,-0.0087599364605358,-0.008548979200574,0.0002109572599617,0.8254932516309659,0.8337581735564668,0.8191765044630003,0.0063167471679655,0.1816491327377825,0.164971333653337,0.1677234745687273,-0.0139256581690551,9,50,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",6,50
depth6_iter200,0.9765138355939824,0.9821403470410882,0.9812916256968583,-0.0056265114471059,-0.0047777901028761,0.0008487213442297,0.8528036766065344,0.8405186744985038,0.8337172473365966,0.0190864292699378,0.1684291643512454,0.1531939304810744,0.1603162355065114,-0.0081129288447339,9,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",6,200
depth6_iter500,0.9808536450076328,0.9830153989537184,0.9821710491421304,-0.0021617539460856,-0.0013174041344974,0.0008443498115882,0.879427379097224,0.8378588052754073,0.8305499568096746,0.0488774222875494,0.1552833549976909,0.1446207295857673,0.1513757337613057,-0.0039076212363852,9,500,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",6,500
depth12_iter50,0.9720058002039832,0.980351022136238,0.979850277072686,-0.0083452219322548,-0.0078444768687027,0.0005007450635521,0.8350809540160059,0.8412944696885737,0.8279585372876476,0.0071224167283583,0.1794449956637932,0.1627622715391689,0.1660056582511323,-0.0134393374126608,9,50,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",12,50
depth12_iter200,0.9775816963262608,0.9825113121431676,0.9815272741272154,-0.0049296158169067,-0.0039455778009545,0.0009840380159522,0.8632629882993054,0.844397650448853,0.841347538151454,0.0219154501478513,0.1653948335447055,0.150525154480259,0.1580954790761803,-0.0072993544685251,9,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",12,200
depth12_iter500,0.9818496092828536,0.983046862589364,0.9822003781954536,-0.0011972533065104,-0.0003507689125999,0.0008464843939104,0.8884075962071789,0.8339798293250582,0.8304059890584509,0.058001607148728,0.1522700774585186,0.1426281571502692,0.1505014905292808,-0.0017685869292377,9,500,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",12,500
