spec,n_features,features,valid_pr_auc,valid_roc_auc,valid_brier,valid_neg_recall,valid_pos_rate,valid_n,test_pr_auc,test_roc_auc,test_brier,test_neg_recall,test_pos_rate,test_n
A_mvp_horizon,11,"available_count,total_chargers,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.980679537684152,0.8558890116258959,0.1581140307658974,0.8338690014407625,0.8942129575351139,85294,0.979993808716012,0.8441384254823634,0.1656462201515454,0.8306939245608984,0.9005981854088554,69878
A_plus_avail_ratio,12,"available_count,total_chargers,known_charger_count,observation_coverage,avail_ratio_t0,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.9806863351702936,0.8560197757713203,0.1577918991017297,0.8332040341349883,0.8942129575351139,85294,0.9799498486771528,0.8442174450920833,0.1649955477712351,0.831413763317017,0.9005981854088554,69878
B_mvp_tmap_eta,11,"available_count,total_chargers,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min",0.9821403470410882,0.8663718464665577,0.1531939304810744,0.8405186744985038,0.8942129575351139,85294,0.9812916256968583,0.8539038265407574,0.1603162355065114,0.8337172473365966,0.9005981854088554,69878
C_mvp_haversine,11,"available_count,total_chargers,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,haversine_km",0.9823028480638084,0.8683057822220696,0.1507035353372298,0.8401861908456167,0.8942129575351139,85294,0.9815358405939872,0.8560526685332724,0.1580681077805256,0.8285344082925424,0.9005981854088554,69878
D_horizon_only_eta_family,13,"available_count,total_chargers,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes,tmap_eta_min,haversine_km",0.9840856906632984,0.8807411638701772,0.1428095015076807,0.8439543389116702,0.8942129575351139,85294,0.9830030251029342,0.8673640163142832,0.1501760044522259,0.8337172473365966,0.9005981854088554,69878
LOO_drop_available_count,10,"total_chargers,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.9780449698198732,0.8411814396611482,0.1599210506397178,0.7844397650448853,0.8942129575351139,85294,0.977197849881438,0.8279499070464111,0.1674824189643185,0.7788655341203571,0.9005981854088554,69878
LOO_drop_total_chargers,10,"available_count,known_charger_count,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.980657134974624,0.856038215359784,0.1580626232292741,0.8366396985481547,0.8942129575351139,85294,0.9799156830638084,0.8436968179256239,0.1658193145545947,0.8344370860927153,0.9005981854088554,69878
LOO_drop_known_charger_count,10,"available_count,total_chargers,observation_coverage,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.9806579841639806,0.855764497178658,0.158363935858139,0.8345339687465366,0.8942129575351139,85294,0.9799842396020888,0.8437554154906738,0.1655861840681412,0.8318456665706881,0.9005981854088554,69878
LOO_drop_observation_coverage,10,"available_count,total_chargers,known_charger_count,single_charger,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.9806270171821654,0.8557099187576579,0.1564507967189539,0.8333148620192841,0.8942129575351139,85294,0.979796836792088,0.84240437839121,0.1653676970988795,0.8257990210192917,0.9005981854088554,69878
LOO_drop_single_charger,10,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,is_weekend,avail_rate_lag_15m,avail_rate_lag_60m,horizon_minutes",0.980679537684152,0.8558890116258959,0.1581140307658974,0.8338690014407625,0.8942129575351139,85294,0.979993808716012,0.8441384254823634,0.1656462201515454,0.8306939245608984,0.9005981854088554,69878
