layer,radius_m,reason,statId,statNm
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183060,대구환경공단 신천사업소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183061,만촌1동주민센터
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183062,호산공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183063,용산역환승주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183064,서촌공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183065,웃는얼굴 아트센터
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183066,서변2공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183067,팔달신시장공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183068,범물공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183070,블루핸즈 현풍현대서비스
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183071,계명문화대학교
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183072,SW융합기술지원센터
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183077,호텔아젤리아
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183144,대구환경공단 달성사업소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME184069,북구유통단지(EXCO)
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME184070,시지근린공원 공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C147,삼국유사 가온누리
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C174,서구 문화회관
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C176,도원동마을공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C177,낙동강 레포츠밸리
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C178,안심2동 공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C229,군위(춘천) 휴게소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C230,군위국민체육센터 주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C251,삼국유사 군위(서울) 휴게소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C255,달서별빛캠프 캠핑장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C257,논공(대구) 휴게소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C259,율암동 공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C261,중앙119 구조본부
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C262,비슬산 숲속 캠핑장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C263,달성문화원
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C264,북구구민 운동장
