layer,radius_m,reason,poi_id,name
city_tour,,NO_COORDINATES,CITYTOUR-0001,2.28기념중앙공원
city_tour,,NO_COORDINATES,CITYTOUR-0002,3.1만세운동길
city_tour,,NO_COORDINATES,CITYTOUR-0003,83타워(83 TOWER DAEGU)
city_tour,,NO_COORDINATES,CITYTOUR-0004,DTC섬유박물관
city_tour,,NO_COORDINATES,CITYTOUR-0005,Vintage
city_tour,,NO_COORDINATES,CITYTOUR-0006,갓바위
city_tour,,NO_COORDINATES,CITYTOUR-0007,강정고령보 - 디아크(The ARC)
city_tour,,NO_COORDINATES,CITYTOUR-0008,경북대학교 가로수길(백양로)
city_tour,,NO_COORDINATES,CITYTOUR-0009,경북대학교 박물관
city_tour,,NO_COORDINATES,CITYTOUR-0010,경북대학교 자연사박물관
city_tour,,NO_COORDINATES,CITYTOUR-0011,경상감영공원
city_tour,,NO_COORDINATES,CITYTOUR-0012,계명대학교 행소 박물관
city_tour,,NO_COORDINATES,CITYTOUR-0013,계산성당
city_tour,,NO_COORDINATES,CITYTOUR-0014,고모령
city_tour,,NO_COORDINATES,CITYTOUR-0015,고모역 복합문화공간
city_tour,,NO_COORDINATES,CITYTOUR-0016,고산골 공룡공원
city_tour,,NO_COORDINATES,CITYTOUR-0017,곽재우 장군 묘소
city_tour,,NO_COORDINATES,CITYTOUR-0018,관덕정 순교 기념관
city_tour,,NO_COORDINATES,CITYTOUR-0019,구암 팜스테이 농촌체험 마을
city_tour,,NO_COORDINATES,CITYTOUR-0020,구암 팜스테이 체험장
city_tour,,NO_COORDINATES,CITYTOUR-0021,구암서원
city_tour,,NO_COORDINATES,CITYTOUR-0022,구암서원 전통문화 체험
city_tour,,NO_COORDINATES,CITYTOUR-0023,국립대구과학관
city_tour,,NO_COORDINATES,CITYTOUR-0024,국립대구기상과학관
city_tour,,NO_COORDINATES,CITYTOUR-0025,국립대구박물관
city_tour,,NO_COORDINATES,CITYTOUR-0026,국채보상운동기념공원
city_tour,,NO_COORDINATES,CITYTOUR-0027,군위 삼존석굴
city_tour,,NO_COORDINATES,CITYTOUR-0028,군위댐
city_tour,,NO_COORDINATES,CITYTOUR-0029,군위향교
city_tour,,NO_COORDINATES,CITYTOUR-0030,군조 왜가리 서식지
city_tour,,NO_COORDINATES,CITYTOUR-0031,귀금속거리
city_tour,,NO_COORDINATES,CITYTOUR-0032,금호강 자연생태공원
city_tour,,NO_COORDINATES,CITYTOUR-0033,김광석 다시 그리기 길
city_tour,,NO_COORDINATES,CITYTOUR-0034,김수환 추기경 사랑과 나눔 공원
city_tour,,NO_COORDINATES,CITYTOUR-0035,김처정 재령이씨 효열각
city_tour,,NO_COORDINATES,CITYTOUR-0036,낙동강 승전기념관
