statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CPCP1044,156-1-000090,,,
CPCT0011,156-2-000062,,,
CPCT3003,156-2-000062,,,
CSCS1024,150-1-000139,,,
CU530001,156-2-000068,,,
CU530002,154-1-000138,,,
CU530004,151-1-000081,,,
CU530005,155-1-000013,,,
CU530006,155-2-000064,0.7284313590846834,2.0,7.0
CU530007,155-1-000158,,,
CU530008,155-2-000107,,,
CU530009,155-1-000030,,,
CU530010,154-1-000084,,,
CU530011,154-1-000254,,,
CU530014,151-2-000015,,,
CV000007,157-1-000121,,,
CV000039,154-2-000055,0.34992710611188255,0.0,7.0
CV000048,155-1-000143,,,
CV000103,154-1-000230,,,
CV000112,151-1-000090,,,
CV000113,154-3-000002,,,
CV000146,154-2-000051,3.238795442501324,-1.0,7.0
CV000149,151-2-000059,,,
CV000151,155-2-000065,0.34992710611188277,-1.0,7.0
CV000152,150-2-000016,,,
CV000154,156-1-000054,,,
CV000163,154-2-000072,,,
CV000165,155-2-000011,,,
CV000194,157-1-000081,,,
CV000224,154-2-000055,0.34992710611188255,0.0,7.0
CV000321,151-2-000029,,,
CV000390,151-1-000108,,,
CV000406,156-2-000020,,,
CV000446,155-1-000005,,,
CV000500,157-1-000129,,,
CV000501,155-1-000143,,,
CV000502,156-2-000072,0.4948716593053938,1.0,7.0
CV000503,156-2-000035,4.43547848464572,13.0,7.0
CV000504,154-1-000084,,,
CV000505,156-2-000082,,,
CV000506,154-1-000124,,,
CV000507,153-1-000038,,,
CV000508,156-2-000081,0.45175395145262925,-1.0,7.0
CV000509,155-1-000029,,,
CV000510,154-2-000034,3.0572763655761013,-10.0,7.0
CV000512,154-1-000200,,,
CV000513,150-1-000117,,,
CV000515,155-2-000016,2.6649654437396637,-7.0,7.0
CV000519,153-1-000052,,,
CV000534,150-1-000167,,,
CV000535,150-1-000145,,,
CV000536,153-2-000001,,,
CV000537,153-2-000003,,,
CV000538,153-1-000045,,,
CV000539,151-2-000072,,,
CV000540,151-1-000131,,,
CV000542,151-1-000137,,,
CV000543,151-1-000171,,,
CV000544,151-1-000149,,,
CV000547,154-1-000030,,,
CV000549,154-2-000032,1.5118578920369083,2.0,7.0
CV000550,154-1-000274,,,
CV000551,156-2-000028,,,
CV000553,156-1-000080,,,
CV000555,151-1-000090,,,
CV000556,156-4-000014,,,
CV000557,154-1-000006,1.124858267715972,-3.0,7.0
CV000558,151-1-000090,,,
CV000559,153-2-000019,,,
CV000560,154-1-000206,,,
CV000561,154-1-000205,,,
CV000562,155-1-000009,,,
CV000564,156-2-000079,,,
CV000565,157-4-000007,,,
CV000566,157-1-000119,,,
CV000567,150-1-000174,,,
CV000569,155-1-000144,,,
CV000599,151-2-000068,,,
CV000616,150-2-000011,,,
CV000618,156-2-000017,,,
CV000620,151-2-000036,,,
CV000630,151-2-000089,,,
CV000657,155-1-000050,,,
CV000665,155-2-000065,0.34992710611188277,-1.0,7.0
CV000670,156-2-000070,,,
CV000678,157-1-000121,,,
CV000701,157-1-000072,,,
CV000750,157-4-000007,,,
CV000770,155-1-000203,,,
CV000783,155-1-000158,,,
CV000799,156-1-000045,,,
CV000805,152-2-000028,,,
CV000806,151-1-000156,,,
CV000807,151-1-000161,,,
CV000808,152-1-000001,,,
CV000809,154-1-000243,,,
CV000810,154-1-000188,,,
CV000811,154-1-000147,,,
CV000812,150-1-000159,,,
CV000813,155-1-000098,,,
CV000814,155-1-000173,,,
CV000815,156-1-000035,,,
CV000816,156-2-000087,,,
CV000817,155-1-000092,,,
CV000818,156-2-000053,,,
CV000831,151-2-000067,,,
CV000849,157-1-000121,,,
CV000891,157-1-000132,,,
CV000896,156-1-000086,,,
CV000897,156-1-000086,,,
CV000899,151-2-000088,,,
CV000902,156-2-000096,,,
CV000906,151-1-000112,,,
CV000908,151-1-000148,,,
CV000952,151-1-000073,,,
CV000976,154-1-000140,,,
CV000977,154-1-000140,,,
CV000978,155-1-000095,,,
CV000979,150-2-000033,,,
CV000980,154-1-000273,,,
CV000981,155-1-000095,,,
CV000982,155-4-000024,,,
CV000985,156-1-000028,,,
CV000991,155-1-000143,,,
CV001002,154-2-000055,0.34992710611188255,0.0,7.0
CV001048,156-2-000091,,,
CV001113,151-1-000053,,,
CV001121,155-2-000062,1.049781318335647,-3.0,7.0
CV001122,154-2-000034,3.0572763655761013,-10.0,7.0
CV001123,156-2-000081,0.45175395145262925,-1.0,7.0
CV001124,156-2-000080,6.253162465211225,-19.0,7.0
CV001126,156-2-000029,0.638876564999938,2.0,7.0
CV001127,154-2-000032,1.5118578920369083,2.0,7.0
CV001129,151-2-000043,,,
CV001130,156-2-000018,,,
CV001171,152-2-000044,9.098104758908947,-30.0,7.0
CV001208,156-2-000020,,,
CV001219,151-1-000058,,,
CV001221,154-2-000040,0.5345224838248477,-2.0,7.0
CV001223,151-2-000102,,,
CV001234,152-1-000018,,,
CV001241,155-2-000016,2.6649654437396637,-7.0,7.0
CV001242,156-1-000108,,,
CV001264,157-1-000130,,,
