statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
BNBN0591,,,,,
BNBN0594,1550007000,385.3,40.0,1.0,원활
BNBN0721,1520017200,104.7,27.0,1.0,원활
BNBN1092,1570420500,237.4,28.0,1.0,원활
BNBN1180,1560057804,65.0,36.0,1.0,원활
BNMI4428,1510035000,233.7,31.0,1.0,원활
BNMI4433,1520012800,216.9,22.0,2.0,지체
BNMI4438,,,,,
CCP00001,1570433800,258.6,72.0,1.0,원활
CG000066,,,,,
CGP00005,,,,,
CGP00009,1540245102,252.4,26.0,1.0,원활
CGP00011,1550030000,330.1,42.0,1.0,원활
CGP00013,1550030000,292.7,42.0,1.0,원활
CGP00014,1510022500,292.9,44.0,1.0,원활
CGP00015,1510031900,348.8,19.0,2.0,지체
CGP00016,1510031900,333.3,19.0,2.0,지체
CGP00017,1510022500,246.1,44.0,1.0,원활
CGP00018,1510031900,350.0,19.0,2.0,지체
CGP00019,1510031900,336.4,19.0,2.0,지체
CI0F0001,1500007101,96.8,19.0,2.0,지체
CI0F0002,,,,,
CI0F0003,1560106703,229.4,72.0,1.0,원활
CI0F0004,1570424302,173.0,28.0,1.0,원활
CI0F0005,,,,,
CPCP1044,,,,,
CPCT0011,1560034004,338.1,26.0,1.0,원활
CPCT3003,1560034004,332.5,26.0,1.0,원활
CSCS1024,1500018000,69.2,22.0,2.0,지체
CSCS2017,,,,,
CU530001,1560007200,253.3,19.0,2.0,지체
CU530002,1540101500,201.0,31.0,1.0,원활
CU530004,1510030002,138.3,20.0,2.0,지체
CU530005,1550010100,100.5,35.0,1.0,원활
CU530006,1550038000,303.2,19.0,2.0,지체
CU530007,,,,,
CU530008,,,,,
CU530009,1550007101,241.2,43.0,1.0,원활
CU530010,,,,,
CU530011,1540030006,143.6,32.0,1.0,원활
CU530012,,,,,
CU530014,1510002023,76.2,22.0,2.0,지체
CV000007,1570428401,91.2,40.0,1.0,원활
CV000039,,,,,
CV000048,,,,,
CV000051,,,,,
CV000103,1540012202,389.4,32.0,1.0,원활
CV000112,1510034300,43.4,27.0,1.0,원활
CV000113,1540025801,214.8,25.0,2.0,지체
CV000146,,,,,
CV000149,,,,,
CV000151,,,,,
CV000152,1500012700,35.4,18.0,2.0,지체
CV000154,1560033202,121.2,26.0,1.0,원활
CV000163,1540089300,346.2,25.0,2.0,지체
CV000165,1550047008,76.1,34.0,1.0,원활
CV000194,,,,,
CV000195,,,,,
CV000219,,,,,
CV000224,,,,,
CV000321,1510056608,140.1,47.0,1.0,원활
CV000375,,,,,
CV000390,1510007302,91.5,20.0,2.0,지체
CV000394,,,,,
CV000406,1560008200,283.3,29.0,1.0,원활
CV000446,1550030307,84.6,24.0,2.0,지체
CV000478,,,,,
CV000500,,,,,
CV000501,,,,,
CV000502,1560003100,258.6,8.0,3.0,정체
CV000503,1560015600,181.4,53.0,1.0,원활
CV000504,1540076601,51.9,41.0,1.0,원활
CV000505,1560031100,138.4,45.0,1.0,원활
CV000506,1540025102,197.1,29.0,1.0,원활
CV000507,1530009300,280.2,21.0,2.0,지체
CV000508,1560025900,274.4,45.0,1.0,원활
CV000509,1550008903,62.4,27.0,1.0,원활
CV000510,,,,,
CV000512,1540005701,315.6,35.0,1.0,원활
CV000513,1500035903,225.2,21.0,2.0,지체
CV000515,1550032800,103.6,36.0,1.0,원활
CV000519,1530012400,198.4,25.0,2.0,지체
CV000534,1500000603,253.5,22.0,2.0,지체
CV000535,1500014900,45.1,21.0,2.0,지체
CV000536,1500004200,179.1,28.0,1.0,원활
CV000537,1530022000,244.7,29.0,1.0,원활
CV000538,1530027102,136.1,21.0,2.0,지체
CV000539,1510022802,222.8,16.0,2.0,지체
CV000540,1510023101,320.0,14.0,3.0,정체
CV000542,1510008400,265.4,33.0,1.0,원활
CV000543,1510004300,310.3,16.0,2.0,지체
CV000544,,,,,
CV000547,1540024300,239.7,14.0,3.0,정체
CV000549,1540070600,214.8,57.0,1.0,원활
CV000550,1540011700,356.8,32.0,1.0,원활
CV000551,,,,,
CV000553,,,,,
CV000554,,,,,
CV000555,1510034200,89.8,20.0,2.0,지체
CV000556,1560103800,100.6,26.0,1.0,원활
CV000557,1540003000,82.4,23.0,2.0,지체
