dow,dow_ko,is_weekend,analyzable,provisional,panel_rows,n_timestamps,n_calendar_dates,n_stations,avail_mean,avail_median,confirmed_rate,in_use_rate_mean,exclude_reason
0,월,False,True,True,1099169,351,3,3638,0.7265,0.875,0.8872,0.2735,
1,화,False,True,True,1143153,360,3,3643,0.7343,0.8857,0.8915,0.2657,
2,수,False,True,True,1203363,384,3,3651,0.7225,0.875,0.8801,0.2775,
3,목,False,True,True,1527367,480,3,3688,0.7183,0.875,0.8685,0.2817,
4,금,False,True,True,1479191,502,4,3710,0.7198,0.875,0.873,0.2802,
5,토,True,True,True,1165263,421,4,3708,0.7041,0.8333,0.8756,0.2959,
6,일,True,True,True,1056371,342,3,3618,0.6999,0.8,0.8821,0.3001,
