statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
LU100103,대구구병원,대구광역시 달서구 감삼북길 141,35.850682,128.541383,02,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.850682,128.541383,240.98795426600458
CV001529,빌리브스카이아파트,대구광역시 달서구 와룡로 186,35.849141,128.53825,01,02,7,24시간 이용가능(외부인출입불가),채비,N,N,2026-07-25T20:38:50+09:00,35.849141,128.53825,249.07869205881974
PL033046,빌리브 스카이 주상복합,대구광역시 달서구 와룡로 186,35.8497392,128.5380927,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8497392,128.5380927,286.7841297266677
EZ001798,대구광역시교육연수원 본원,대구광역시 달서구 당산로 121,35.8481763,128.544184,02,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.8481763,128.544184,297.52692480039195
CV000799,아우디_서대구 전시장(코오롱아우토),대구광역시 달서구 와룡로 170,35.847781,128.537639,01,04,150,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.847781,128.537639,307.34731091263416
PI794362,대구 달서구 빌리브죽전,대구광역시 달서구 달구벌대로 1581,35.8514336,128.5396172,02,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8514336,128.5396172,341.4988311786443
HY001776,대구 동화로즈빌,대구광역시 달서구 죽전1길 82,35.84964,128.5372,03,02,7,24시간 이용가능,현대엔지니어링,N,N,2026-07-25T20:38:50+09:00,35.84964,128.5372,356.1639143725594
HD000070,대구 서부 오토스퀘어 E-pit,대구광역시 달서구 달구벌대로 1599,35.8520778,128.5413128,01,04,200,24시간 이용가능,현대자동차,Y,N,2026-07-25T20:38:50+09:00,35.8520778,128.5413128,394.107850849729
KP000645,월드마크웨스트엔드 아파트,대구광역시 달서구 감삼동 와룡로 169,35.8487328275,128.5363908546,04,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8487328275,128.5363908546,408.2819087397884
PWE02546,월드마크웨스트엔드아파트,대구광역시 달서구 와룡로 169,35.84873,128.53639,66,02,3,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.84873,128.53639,408.34315902481535
PW801097,월드마크웨스트엔드입주자대표회의25(T),대구광역시 달서구 와룡로 169,35.8487323,128.5363891,21,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.8487323,128.5363891,408.4369098280813
HM001647,월드마크웨스트엔드상가,대구광역시 달서구 와룡로 169,35.8487323,128.5363891,04,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.8487323,128.5363891,408.4369098280813
HM001533,월드마크웨스트엔드,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,01,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675
PW014759,월드마크웨스트엔드입주자대표회의,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,05,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675
PW100764,월드마크웨스트엔드,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,01,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675
PL031985,대구 달서구 죽전역인터불고라비다,대구 달서구 와룡로 148,35.8458545,128.5377,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8458545,128.5377,416.75644691066515
PI802108,성당코오롱하늘채아파트,대구광역시 달서구 장기로 160,35.844377,128.5419372,08,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.844377,128.5419372,472.8787174994887
SF002605,동화로즈빌 (완속충전기),대구광역시 달서구 죽전1길 82,35.8526235,128.5392563,00,02,11,09:00~18:00,스타코프(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.8526235,128.5392563,477.1756083825083
