statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,02,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,05,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,04,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,01,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,05,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,02,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,04,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,03,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,03,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423
LU002217,홍실1차아파트,대구광역시 서구 서대구로8길 49,35.862228,128.562319,01,02,7,24시간 이용가능,LG유플러스,N,N,2026-07-25T20:38:50+09:00,35.862228,128.562319,489.9692253485131
LU002217,홍실1차아파트,대구광역시 서구 서대구로8길 49,35.862228,128.562319,02,02,7,24시간 이용가능,LG유플러스,N,N,2026-07-25T20:38:50+09:00,35.862228,128.562319,489.9692253485131
KP000643,두류보성맨션 아파트,대구광역시 달서구 두류동 두류6길 9,35.8572985718,128.5661655046,02,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8572985718,128.5661655046,495.17654065911995
KP000643,두류보성맨션 아파트,대구광역시 달서구 두류동 두류6길 9,35.8572985718,128.5661655046,01,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8572985718,128.5661655046,495.17654065911995
PL031986,대구 달서구 두류보성맨션,대구 달서구 두류6길 9,35.8572996,128.5661712,01,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8572996,128.5661712,495.66494332164604
PL031986,대구 달서구 두류보성맨션,대구 달서구 두류6길 9,35.8572996,128.5661712,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8572996,128.5661712,495.66494332164604
PL031986,대구 달서구 두류보성맨션,대구 달서구 두류6길 9,35.8572996,128.5661712,02,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8572996,128.5661712,495.66494332164604
