statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m,radius_m
CV000815,대구시_두류3동,대구광역시 달서구 야외음악당로39길 24,35.853669,128.5554709,01,06,100,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.853669,128.5554709,677.3165350061804,1000
CV001130,제봉뜰 두류봉제 지식산업센터,대구광역시 달서구 두류남9길 17,35.85663283,128.56848005,01,02,7,09:00~18:00(운영시간 내 이용가능),채비,N,N,2026-07-25T20:38:50+09:00,35.85663283,128.56848005,714.0294610146137,1000
LU001061,보성홍실2차,대구광역시 서구 통학로 39,35.863941,128.563892,01,02,7,24시간 이용가능,엘지유플러스,N,N,2026-07-25T20:38:50+09:00,35.863941,128.563892,717.8939060312666,1000
KP002736,삼정그린빌아파트,대구광역시 달서구 두류동 야외음악당로39길 54,35.8541501369,128.554356835,04,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8541501369,128.554356835,717.9298152351465,1000
PW013157,삼정그린빌입주자대표회의,대구광역시 달서구 야외음악당로39길 54,35.8541483,128.5543576,03,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8541483,128.5543576,717.996734693384,1000
PW014669,삼정그린빌입주자대표회의23,대구광역시 달서구 야외음악당로39길 54,35.8541512,128.5543396,02,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8541512,128.5543396,719.1047872480254,1000
CV001601,두류공원4공영주차장(두류테니스장 맞은편),대구광역시 달서구 두류동 597-3,35.8525556,128.5562455,01,04,100,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.8525556,128.5562455,729.513501516578,1000
KP000238,두류공원 테니스장,대구광역시 달서구 두류동 697-1,35.851282,128.560784,03,02,7,주중/주말 : 24시간,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.851282,128.560784,748.2514924191512,1000
KP003475,두류공원 초급속 EV충전소,대구광역시 달서구 두류동 595,35.851561,128.558186,01,06,100,24시간 이용가능,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.851561,128.558186,753.295446462371,1000
EV012641,대구서구 광장타운1차아파트 2,대구광역시 서구 달구벌대로 1707,35.8576944,128.5523824,08,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8576944,128.5523824,754.1665871950543,1000
CV000808,대구시_내당4동,대구광역시 서구 서대구로3길 46,35.859002,128.5518319,01,06,100,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.859002,128.5518319,810.4732150392583,1000
EZ001393,성주 숯불 갈비,대구광역시 서구 평리로54길 3,35.8626598,128.5536867,01,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.8626598,128.5536867,819.3985488699651,1000
EV002287,대구서구 광장타운1차아파트,대구광역시 서구 달구벌대로 1707,35.85752690089,128.5516265418,03,02,7,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",주식회사 에버온,Y,N,2026-07-25T20:38:50+09:00,35.85752690089,128.5516265418,823.2256314671735,1000
ME20C182,두류1·2동1공영주차장,대구광역시 달서구 두류동 1252-4,35.855857,128.569531,01,04,100,24시간 이용가능,기후에너지환경부,Y,N,2026-07-25T20:38:50+09:00,35.855857,128.569531,827.527911608892,1000
CV001793,평리청구타운아파트,대구광역시 서구 서대구로 77,35.8641235,128.5553386,07,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.8641235,128.5553386,836.0800591846689,1000
EC000430,평리청구타운 2주차장 B1,대구광역시 서구 서대구로 77,35.86435055,128.55565646,03,02,7,24시간 이용가능,이지차저,Y,N,2026-07-25T20:38:50+09:00,35.86435055,128.55565646,840.7802582562052,1000
EC000431,평리청구타운 B2 전기실,대구광역시 서구 서대구로 77,35.864316878,128.55547313,01,02,7,24시간 이용가능,이지차저,Y,N,2026-07-25T20:38:50+09:00,35.864316878,128.55547313,846.7951082286186,1000
EV008555,대구서구 황제맨션아파트,대구광역시 서구 통학로 46,35.865018634,128.56533466,03,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.865018634,128.56533466,882.3093404503945,1000
EZ001392,부건미트,대구광역시 서구 평리로 269,35.8631815,128.5528545,01,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.8631815,128.5528545,914.1851777046606,1000
NT101991,대구 내당동화타운아파트,대구광역시 서구 달구벌대로337길 29,35.85743,128.55051,01,02,7,24시간 이용가능,NICE인프라,N,N,2026-07-25T20:38:50+09:00,35.85743,128.55051,924.3482333004864,1000
PI530050,대구시 달서구  레드모터스,대구광역시 달서구 파도고개로 92,35.854539283805,128.5701670256,02,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.854539283805,128.5701670256,933.0419743233747,1000
DYME2012,대구 엠플라자,대구광역시 서구 달구벌대로 1691,35.8557204,128.5507114,52,02,7,24시간 이용가능,동양이엔피,Y,N,2026-07-25T20:38:50+09:00,35.8557204,128.5507114,939.1478060045828,1000
EV013471,대구서구 삼익뉴타운 7,대구광역시 서구 평리로 236,35.8610133,128.5503107,02,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8610133,128.5503107,997.5432411436401,1000
