incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93171143641,2,6,대구 북구 읍내동 1382,2723011800,대구 북구 구암로 83,1540110902,128.54952326826745,35.93250227494254,C0101,,A0502,A0402,[공사] 구암로 칠곡운암역 에서 칠곡ic네거리 방향 4차로 유지보수 주의운전,A0502,29,2026년 07월 24일  15시 01분,2026년 07월 24일  17시 31분,4차로,구암로,P000,0,0,2026년 07월 24일  15시 03분,utic,2026-07-24T16:34:14.787071+09:00,공사·작업(2)
L93171139810,2,13,대구 남구 대명동 224,2720010300,대구 남구 대명로 지하 292,1530019100,128.59066790902196,35.84747312449545,C0101,,A0502,A0402,[공사] 중앙대로 영대병원앞교차로 에서 대구고교삼거리 방향 3차로 노변 유지보수 주의운전,A0502,29,2026년 07월 24일  13시 15분,2026년 07월 24일  17시 45분,3차로,중앙대로,P000,0,0,2026년 07월 24일  13시 17분,utic,2026-07-24T16:34:14.787071+09:00,공사·작업(2)
L93171175940,1,8,대구 군위군 소보면 산법리 산 29-1,2772031031,,3610341703,128.5104062,36.2202759,C0101,POINT(128.5104062 36.2202759),A0502,A0402,[사고] 상주영천고속도로 서군위IC 에서 영천 방향 2차로 산법터널 전 1.5km(방향) 고장 차량 주의운전,A0502,37,2026년 07월 25일  15시 54분,2026년 07월 25일  16시 24분,2차로,상주영천고속도로,P002,0,0,,utic,2026-07-25T16:20:51.053257+09:00,사고·기타(1)
L93171175650,1,8,대구 달서구 도원동 1439,2729011600,대구광역시 달서구 한실로 135,1560012800,128.5421185,35.8080529,C0101,POINT(128.5421185 35.8080529),A0502,A0402,"[사고] 상화로 도원동1396295 에서 한국토지주택공사 방향 진행방향 7,8,9차로 고장 차량 주의운전",A0502,29,2026년 07월 25일  15시 39분,2026년 07월 25일  17시 00분,"진행방향 7,8,9차로",상화로,P000,1,0,,utic,2026-07-25T16:26:49.365803+09:00,사고·기타(1)
L93171164690,2,6,대구 남구 대명동 1291,2720010300,대구 남구 대명로 지하 141,1530027200,128.5760439,35.8397018,C0101,POINT(128.5760439 35.8397018),A0502,A0402,[공사] 두류공원로 안지랑네거리 에서 동로교회 방향 3차로 유지보수 주의운전,A0502,29,2026년 07월 25일  09시 16분,2026년 07월 25일  18시 46분,3차로,두류공원로,P000,0,0,,utic,2026-07-25T16:26:49.365803+09:00,공사·작업(2)
L93171164951,2,255,대구 남구 대명동 2321-1,2720010300,대구 남구 명덕로 58-2,1500004300,128.5901471,35.8568335,C0101,POINT(128.5901471 35.8568335),A0502,A0402,[공사] 명덕로 남산동2321 에서 명덕네거리 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 25일  09시 26분,2026년 07월 25일  20시 00분,3차로,명덕로,P000,0,0,,utic,2026-07-25T16:26:49.365803+09:00,공사·작업(2)
L93171165327,2,255,대구 남구 봉덕동 1581-54,2720010200,대구 남구 용두길 24,1530036301,128.6050199,35.834062,C0101,POINT(128.6050199 35.834062),A0502,A0402,[공사] 상동교 하상도로 한국뇌기능개발센터 에서 화성양로원 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 25일  09시 43분,2026년 07월 25일  20시 00분,1차로,상동교 하상도로,P000,0,0,,utic,2026-07-25T16:26:49.365803+09:00,공사·작업(2)
L93171165452,2,255,대구 수성구 상동 675-10,2726010900,대구 수성구 신천동로 51,1530035901,128.6079663,35.8291144,C0101,POINT(128.6079663 35.8291144),A0502,A0402,[공사] 신천좌안 하단도로 두산교 에서 풍경채해풍코다리 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 25일  09시 48분,2026년 07월 25일  20시 00분,1차로,신천좌안 하단도로,P000,0,0,,utic,2026-07-25T16:26:49.365803+09:00,공사·작업(2)
L93171163697,2,255,대구 동구 용계동 437-5,2714011900,대구 동구 화랑로 471,1510045522,128.6752478091597,35.87544691974439,C0101,POINT(128.6752478091597 35.87544691974439),A0502,A0402,[공사] 화랑로 동대구IC고가교 에서 현대은하맨션 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 25일  08시 32분,2026년 07월 25일  23시 59분,3차로,화랑로,P000,0,0,,utic,2026-07-25T20:35:47.403374+09:00,공사·작업(2)
L93171182073,1,255,대구 북구 읍내동 1448,2723011800,대구광역시 북구 칠곡중앙대로125길 7,1540330800,128.5528384,35.9510506,C0101,POINT(128.5528384 35.9510506),A0502,A0402,[사고] 칠곡중앙대로125길 읍내동5831 에서 읍내동123657 방향 1차로 교통사고 주의운전,A0502,29,2026년 07월 25일  20시 32분,2026년 07월 25일  21시 02분,1차로,칠곡중앙대로125길,P000,0,0,,utic,2026-07-25T20:35:47.403374+09:00,사고·기타(1)
