hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,31,8,87.7,11.79,0.51,12.3,40.14,40.12
1,32,8,89.29,10.38,0.32,10.71,40.83,40.87
2,32,8,90.25,9.3,0.45,9.75,41.44,41.45
3,32,8,91.65,8.16,0.19,8.35,42.09,42.01
4,32,8,92.1,7.66,0.24,7.9,42.28,42.26
5,32,8,91.56,8.18,0.26,8.44,41.92,41.9
6,31,8,88.67,10.7,0.63,11.33,40.47,40.28
7,33,9,80.44,17.77,1.79,19.56,37.79,37.74
8,37,9,65.42,30.09,4.49,34.58,33.52,32.66
9,35,9,64.52,30.98,4.49,35.48,33.16,32.83
10,36,9,61.94,33.42,4.64,38.06,32.51,32.1
11,36,9,60.31,34.1,5.6,39.69,32.29,31.94
12,36,9,61.43,33.56,5.01,38.57,32.65,32.52
13,36,9,60.78,34.24,4.98,39.22,32.36,32.47
14,35,9,58.56,36.17,5.27,41.44,31.72,31.63
15,31,8,57.72,36.5,5.78,42.28,31.42,31.31
16,32,9,54.79,37.55,7.66,45.21,30.67,30.5
17,36,9,51.08,38.7,10.22,48.92,29.74,29.26
18,31,8,48.69,35.86,15.45,51.31,28.8,27.82
19,32,8,63.15,30.01,6.84,36.85,32.88,33.65
20,40,9,72.72,25.06,2.22,27.28,35.23,35.25
21,37,9,76.45,21.52,2.04,23.55,36.18,36.08
22,36,9,79.81,18.98,1.22,20.19,37.23,37.12
23,32,8,85.32,13.74,0.95,14.68,39.23,38.92
