hour,mean_pct,median_pct,ticks,days
0,52.12327644755889,53.99652130468985,104,16
1,51.15919982547602,53.739785203738656,108,16
2,51.73304640048291,53.99609593911383,108,16
3,52.72142855094035,54.634921112317656,108,16
4,53.96613892152544,55.50663627497442,108,16
5,56.163259372919356,57.40027739754365,108,16
6,59.8512671970805,60.95763773091868,108,16
7,68.21932772588964,66.94537518137962,128,19
8,74.92231622030967,75.82747951344632,162,22
9,76.65804166225385,77.76261937244202,133,22
10,78.5673281803214,79.92427658526597,132,22
11,79.55276244058005,81.4680731539854,127,22
12,79.62568523221009,81.86727145094228,125,21
13,79.13588630965926,81.69264793138788,127,22
14,78.10587484591551,81.25881069285325,130,22
15,76.86385284162968,80.6135257389356,134,22
16,74.30876504722981,77.71971903375021,125,22
17,72.2811559927565,76.02032713990789,115,21
18,69.47650387359245,71.83589214395943,102,18
19,64.34808391082125,66.51471163055132,102,18
20,58.39226526063181,61.881054169597924,117,21
21,53.72288577449876,58.36392012997972,120,21
22,51.31888933486545,56.104541281926664,109,18
23,52.23088555112839,54.857836926275056,96,15
