hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,35,9,87.5,11.99,0.51,12.5,40.05,40.1
1,36,9,89.2,10.47,0.33,10.8,40.8,40.87
2,36,9,90.27,9.27,0.46,9.73,41.4,41.42
3,36,9,91.6,8.22,0.19,8.4,42.04,42.01
4,35,9,91.99,7.75,0.26,8.01,42.24,42.23
5,36,9,91.54,8.19,0.27,8.46,41.89,41.9
6,35,9,88.72,10.68,0.6,11.28,40.52,40.43
7,37,10,81.06,17.23,1.71,18.94,38.03,38.09
8,40,10,66.68,29.02,4.3,33.32,33.88,33.05
9,35,9,64.52,30.98,4.49,35.48,33.16,32.83
10,36,9,61.94,33.42,4.64,38.06,32.51,32.1
11,36,9,60.31,34.1,5.6,39.69,32.29,31.94
12,36,9,61.43,33.56,5.01,38.57,32.65,32.52
13,36,9,60.78,34.24,4.98,39.22,32.36,32.47
14,35,9,58.56,36.17,5.27,41.44,31.72,31.63
15,35,9,57.38,36.57,6.05,42.62,31.33,31.19
16,36,10,54.36,37.74,7.91,45.64,30.55,30.48
17,40,10,50.4,39.02,10.58,49.6,29.58,29.2
18,35,9,47.75,36.18,16.06,52.25,28.57,27.54
19,36,9,62.69,30.4,6.91,37.31,32.75,33.24
20,44,10,72.48,25.29,2.23,27.52,35.16,35.19
21,41,10,76.18,21.81,2.01,23.82,36.12,36.06
22,40,10,79.59,19.14,1.27,20.41,37.17,37.07
23,36,9,85.06,13.99,0.96,14.94,39.13,38.9
