collected_at,occ_mean,occ_median,lots,만차(점유 90%초과),보통(점유 70%미만),여유(점유 50%미만),혼잡(점유 90%미만)
2026-07-25 20:30:03,47.002476190476195,38.46,106,15.238095238095239,12.380952380952381,58.0952380952381,14.285714285714285
2026-07-25 20:40:22,46.17590476190477,39.44,106,13.333333333333334,14.285714285714285,59.04761904761905,13.333333333333334
2026-07-25 20:50:02,45.77095238095238,40.25,106,14.285714285714285,15.238095238095239,59.04761904761905,11.428571428571429
2026-07-25 21:00:03,44.97352380952381,34.04,106,13.333333333333334,15.238095238095239,60.0,11.428571428571429
2026-07-25 21:10:02,44.55990476190476,35.21,106,13.333333333333334,15.238095238095239,60.0,11.428571428571429
2026-07-25 21:20:02,44.17123809523809,35.21,106,12.380952380952381,15.238095238095239,60.0,12.380952380952381
2026-07-25 21:30:12,43.783142857142856,33.07,106,12.380952380952381,14.285714285714285,60.952380952380956,12.380952380952381
2026-07-25 21:40:02,43.16304761904762,33.07,106,12.380952380952381,16.19047619047619,60.952380952380956,10.476190476190476
2026-07-25 21:50:11,42.582857142857144,33.86,106,12.380952380952381,16.19047619047619,61.904761904761905,9.523809523809524
2026-07-25 22:00:02,41.870380952380955,32.95,106,12.380952380952381,16.19047619047619,61.904761904761905,9.523809523809524
2026-07-25 22:10:02,40.82152380952381,32.84,106,12.380952380952381,16.19047619047619,64.76190476190476,6.666666666666667
2026-07-25 22:20:02,39.43257142857143,32.28,106,9.523809523809524,15.238095238095239,66.66666666666666,8.571428571428571
2026-07-25 22:30:02,39.15304761904762,31.5,106,9.523809523809524,16.19047619047619,66.66666666666666,7.6190476190476195
2026-07-25 22:40:02,39.17095238095238,30.99,106,10.476190476190476,15.238095238095239,67.61904761904762,6.666666666666667
2026-07-25 22:50:02,38.878095238095234,32.28,106,10.476190476190476,16.19047619047619,67.61904761904762,5.714285714285714
2026-07-25 23:00:02,38.30733333333333,30.99,106,8.571428571428571,17.142857142857142,66.66666666666666,7.6190476190476195
2026-07-25 23:10:02,37.842190476190474,30.99,106,7.6190476190476195,14.285714285714285,69.52380952380952,8.571428571428571
2026-07-25 23:20:02,37.281142857142854,30.99,106,8.571428571428571,13.333333333333334,70.47619047619048,7.6190476190476195
2026-07-25 23:30:11,37.31447619047619,30.99,106,6.666666666666667,13.333333333333334,70.47619047619048,9.523809523809524
2026-07-25 23:40:12,36.67780952380952,29.41,106,6.666666666666667,16.19047619047619,69.52380952380952,7.6190476190476195
2026-07-25 23:50:02,36.239714285714285,29.03,106,6.666666666666667,18.095238095238095,68.57142857142857,6.666666666666667
2026-07-26 00:00:02,35.81552380952381,29.17,106,6.666666666666667,17.142857142857142,69.52380952380952,6.666666666666667
2026-07-26 00:10:02,35.209809523809525,28.93,106,6.666666666666667,17.142857142857142,70.47619047619048,5.714285714285714
2026-07-26 00:20:02,34.82114285714285,28.93,106,6.666666666666667,18.095238095238095,70.47619047619048,4.761904761904762
2026-07-26 00:30:03,34.7332380952381,28.93,106,6.666666666666667,17.142857142857142,71.42857142857143,4.761904761904762
2026-07-26 00:40:02,34.49895238095238,28.12,106,6.666666666666667,15.238095238095239,73.33333333333333,4.761904761904762
2026-07-26 00:50:12,34.3532380952381,28.21,106,6.666666666666667,15.238095238095239,73.33333333333333,4.761904761904762
2026-07-26 01:00:03,34.10552380952381,28.12,106,6.666666666666667,14.285714285714285,74.28571428571429,4.761904761904762
2026-07-26 01:10:12,33.61904761904762,26.81,106,6.666666666666667,12.380952380952381,76.19047619047619,4.761904761904762
2026-07-26 01:20:02,33.352476190476196,26.47,106,6.666666666666667,13.333333333333334,76.19047619047619,3.8095238095238098
2026-07-26 01:30:02,33.225809523809524,26.45,106,6.666666666666667,13.333333333333334,76.19047619047619,3.8095238095238098
2026-07-26 01:40:11,33.185047619047616,26.25,106,6.666666666666667,13.333333333333334,76.19047619047619,3.8095238095238098
2026-07-26 01:50:01,32.89609523809524,26.32,106,6.666666666666667,11.428571428571429,78.0952380952381,3.8095238095238098
2026-07-26 02:00:02,32.68447619047619,26.32,106,6.666666666666667,11.428571428571429,78.0952380952381,3.8095238095238098
2026-07-26 02:10:02,32.544,26.47,106,6.666666666666667,11.428571428571429,78.0952380952381,3.8095238095238098
2026-07-26 02:20:12,32.426857142857145,26.32,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 02:30:11,32.19009523809524,25.81,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 02:40:02,32.175714285714285,26.32,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 02:50:02,32.080190476190474,26.32,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:00:11,31.971714285714288,26.32,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:10:02,31.724,25.62,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:20:02,31.713809523809523,25.62,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:30:03,31.577238095238098,25.62,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:40:02,31.498571428571427,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 03:50:11,31.423333333333332,25.45,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 04:00:02,31.465714285714288,25.45,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 04:10:02,31.380285714285712,25.45,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 04:20:11,31.389619047619046,25.45,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 04:30:03,31.484190476190477,25.45,106,6.666666666666667,10.476190476190476,79.04761904761905,3.8095238095238098
2026-07-26 04:40:02,31.499142857142857,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 04:50:02,31.549333333333333,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 05:00:02,31.649428571428572,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 05:10:02,31.63104761904762,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 05:20:02,31.698666666666668,25.45,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 05:30:02,31.682095238095236,25.81,106,6.666666666666667,11.428571428571429,79.04761904761905,2.857142857142857
2026-07-26 05:40:02,31.777523809523807,25.81,106,6.666666666666667,11.428571428571429,78.0952380952381,3.8095238095238098
2026-07-26 05:50:02,31.959714285714284,25.81,106,6.666666666666667,12.380952380952381,77.14285714285715,3.8095238095238098
2026-07-26 06:00:10,32.17142857142857,25.81,106,6.666666666666667,12.380952380952381,77.14285714285715,3.8095238095238098
2026-07-26 06:10:02,32.37390476190476,26.47,106,6.666666666666667,12.380952380952381,77.14285714285715,3.8095238095238098
2026-07-26 06:20:01,32.762190476190476,26.47,106,6.666666666666667,13.333333333333334,77.14285714285715,2.857142857142857
2026-07-26 06:30:02,32.902,26.81,106,6.666666666666667,14.285714285714285,76.19047619047619,2.857142857142857
2026-07-26 06:40:02,32.989619047619044,26.81,106,6.666666666666667,12.380952380952381,78.0952380952381,2.857142857142857
2026-07-26 06:50:02,33.48171428571428,28.1,106,6.666666666666667,13.333333333333334,77.14285714285715,2.857142857142857
2026-07-26 07:00:02,33.87619047619047,28.1,106,6.666666666666667,15.238095238095239,75.23809523809524,2.857142857142857
2026-07-26 07:10:13,34.168571428571425,28.12,106,7.6190476190476195,15.238095238095239,74.28571428571429,2.857142857142857
2026-07-26 07:20:02,34.61180952380953,28.12,106,7.6190476190476195,18.095238095238095,71.42857142857143,2.857142857142857
2026-07-26 07:30:03,34.852476190476196,28.93,106,7.6190476190476195,18.095238095238095,71.42857142857143,2.857142857142857
2026-07-26 07:40:02,35.364761904761906,28.93,106,7.6190476190476195,18.095238095238095,70.47619047619048,3.8095238095238098
2026-07-26 07:50:12,35.898476190476195,28.93,106,7.6190476190476195,19.047619047619047,70.47619047619048,2.857142857142857
2026-07-26 08:00:02,36.02428571428572,29.66,106,7.6190476190476195,19.047619047619047,70.47619047619048,2.857142857142857
2026-07-26 08:10:02,36.36714285714286,28.81,106,8.571428571428571,18.095238095238095,70.47619047619048,2.857142857142857
2026-07-26 08:20:02,36.73923809523809,29.03,106,8.571428571428571,18.095238095238095,69.52380952380952,3.8095238095238098
2026-07-26 08:30:11,36.97428571428571,30.3,106,8.571428571428571,20.952380952380953,67.61904761904762,2.857142857142857
2026-07-26 08:40:12,37.629238095238094,30.65,106,7.6190476190476195,18.095238095238095,67.61904761904762,6.666666666666667
2026-07-26 08:50:02,38.51076190476191,31.03,106,10.476190476190476,17.142857142857142,66.66666666666666,5.714285714285714
2026-07-26 09:00:03,38.95647619047619,31.4,106,9.523809523809524,15.238095238095239,67.61904761904762,7.6190476190476195
2026-07-26 09:10:02,39.822,31.47,106,10.476190476190476,16.19047619047619,64.76190476190476,8.571428571428571
2026-07-26 09:20:02,40.63828571428572,32.84,106,11.428571428571429,15.238095238095239,64.76190476190476,8.571428571428571
2026-07-26 09:30:11,41.41247619047619,33.06,106,11.428571428571429,16.19047619047619,63.8095238095238,8.571428571428571
2026-07-26 09:40:01,42.14828571428571,33.9,106,10.476190476190476,14.285714285714285,65.71428571428571,9.523809523809524
2026-07-26 09:50:02,42.674285714285716,35.71,106,10.476190476190476,15.238095238095239,64.76190476190476,9.523809523809524
2026-07-26 10:00:13,43.55342857142857,36.54,106,11.428571428571429,16.19047619047619,60.952380952380956,11.428571428571429
2026-07-26 10:10:02,44.36380952380952,39.83,106,11.428571428571429,16.19047619047619,61.904761904761905,10.476190476190476
2026-07-26 10:20:02,44.968380952380954,39.87,106,12.380952380952381,19.047619047619047,57.14285714285714,11.428571428571429
2026-07-26 10:30:03,45.873714285714286,40.67,106,10.476190476190476,20.952380952380953,56.19047619047619,12.380952380952381
2026-07-26 10:40:02,46.34761904761905,41.07,106,11.428571428571429,19.047619047619047,55.23809523809524,14.285714285714285
2026-07-26 10:50:12,46.751714285714286,42.86,106,11.428571428571429,20.0,55.23809523809524,13.333333333333334
2026-07-26 11:00:02,47.47333333333333,43.56,106,12.380952380952381,12.380952380952381,58.0952380952381,17.142857142857142
2026-07-26 11:10:02,47.933238095238096,43.33,106,12.380952380952381,14.285714285714285,56.19047619047619,17.142857142857142
2026-07-26 11:20:12,47.93609523809524,43.9,106,14.285714285714285,15.238095238095239,54.285714285714285,16.19047619047619
2026-07-26 11:30:03,48.33371428571429,44.67,106,13.333333333333334,16.19047619047619,53.333333333333336,17.142857142857142
2026-07-26 11:40:02,48.67885714285714,44.94,106,14.285714285714285,19.047619047619047,52.38095238095239,14.285714285714285
2026-07-26 11:50:02,49.0407619047619,44.67,106,16.19047619047619,18.095238095238095,52.38095238095239,13.333333333333334
2026-07-26 12:00:02,49.26923809523809,44.0,106,16.19047619047619,18.095238095238095,52.38095238095239,13.333333333333334
2026-07-26 12:10:01,49.56333333333333,44.22,106,18.095238095238095,19.047619047619047,51.42857142857142,11.428571428571429
2026-07-26 12:20:02,49.727809523809526,43.73,106,16.19047619047619,17.142857142857142,51.42857142857142,15.238095238095239
2026-07-26 12:30:01,49.846666666666664,44.05,106,16.19047619047619,18.095238095238095,51.42857142857142,14.285714285714285
2026-07-26 12:40:02,50.61352380952381,46.43,106,17.142857142857142,17.142857142857142,51.42857142857142,14.285714285714285
2026-07-26 12:50:02,50.51009523809524,47.24,106,17.142857142857142,15.238095238095239,51.42857142857142,16.19047619047619
2026-07-26 13:00:02,50.206095238095244,46.67,106,16.19047619047619,16.19047619047619,51.42857142857142,16.19047619047619
2026-07-26 13:10:03,50.28809523809524,46.43,106,17.142857142857142,17.142857142857142,50.476190476190474,15.238095238095239
2026-07-26 13:20:02,50.50857142857142,50.0,106,20.0,16.19047619047619,50.476190476190474,13.333333333333334
2026-07-26 13:30:03,50.59685714285715,50.0,106,19.047619047619047,16.19047619047619,50.476190476190474,14.285714285714285
2026-07-26 13:40:11,50.580190476190474,48.21,106,20.952380952380953,17.142857142857142,50.476190476190474,11.428571428571429
2026-07-26 13:50:01,50.48095238095238,48.21,106,20.0,15.238095238095239,51.42857142857142,13.333333333333334
2026-07-26 14:00:12,50.600952380952386,47.89,106,19.047619047619047,13.333333333333334,52.38095238095239,15.238095238095239
2026-07-26 14:10:02,51.09990476190476,50.0,106,20.0,13.333333333333334,51.42857142857142,15.238095238095239
2026-07-26 14:20:02,51.49838095238095,49.75,106,21.904761904761905,14.285714285714285,50.476190476190474,13.333333333333334
2026-07-26 14:30:02,51.07780952380953,49.32,106,20.0,12.380952380952381,52.38095238095239,15.238095238095239
2026-07-26 14:40:02,51.17361904761905,47.33,106,20.952380952380953,9.523809523809524,54.285714285714285,15.238095238095239
2026-07-26 14:50:11,51.52466666666667,48.21,106,20.0,9.523809523809524,53.333333333333336,17.142857142857142
2026-07-26 15:00:03,51.74657142857143,47.33,106,21.904761904761905,12.380952380952381,52.38095238095239,13.333333333333334
2026-07-26 15:10:02,51.65209523809524,45.07,106,22.857142857142858,12.380952380952381,52.38095238095239,12.380952380952381
2026-07-26 15:20:10,51.42209523809524,44.33,106,20.952380952380953,12.380952380952381,52.38095238095239,14.285714285714285
2026-07-26 15:30:03,50.904666666666664,45.33,106,20.0,17.142857142857142,51.42857142857142,11.428571428571429
2026-07-26 15:40:12,50.77895238095238,46.0,106,20.952380952380953,14.285714285714285,53.333333333333336,11.428571428571429
2026-07-26 15:50:02,50.936190476190475,46.0,106,20.952380952380953,13.333333333333334,52.38095238095239,13.333333333333334
2026-07-26 16:00:03,50.42676190476191,46.0,106,19.047619047619047,15.238095238095239,53.333333333333336,12.380952380952381
2026-07-26 16:10:11,50.16771428571428,44.68,106,19.047619047619047,14.285714285714285,53.333333333333336,13.333333333333334
2026-07-26 16:20:10,49.72238095238096,45.33,106,18.095238095238095,15.238095238095239,52.38095238095239,14.285714285714285
2026-07-26 16:30:03,49.77133333333333,44.67,106,18.095238095238095,18.095238095238095,52.38095238095239,11.428571428571429
2026-07-26 16:40:02,49.0787619047619,44.36,106,15.238095238095239,16.19047619047619,53.333333333333336,15.238095238095239
2026-07-26 16:50:20,48.60914285714286,43.3,106,15.238095238095239,18.095238095238095,53.333333333333336,13.333333333333334
2026-07-26 17:00:03,48.30342857142857,44.64,106,14.285714285714285,17.142857142857142,53.333333333333336,15.238095238095239
2026-07-26 17:10:02,47.912,44.64,106,15.238095238095239,18.095238095238095,53.333333333333336,13.333333333333334
2026-07-26 17:20:02,47.079904761904764,41.94,106,13.333333333333334,16.19047619047619,55.23809523809524,15.238095238095239
2026-07-26 17:30:12,46.964190476190474,40.77,106,14.285714285714285,16.19047619047619,56.19047619047619,13.333333333333334
2026-07-26 17:40:02,46.896190476190476,40.85,106,12.380952380952381,19.047619047619047,53.333333333333336,15.238095238095239
2026-07-26 17:50:20,46.98419047619048,42.47,106,13.333333333333334,17.142857142857142,54.285714285714285,15.238095238095239
2026-07-26 18:00:11,46.831428571428575,41.94,106,13.333333333333334,20.0,54.285714285714285,12.380952380952381
2026-07-26 18:10:02,46.81038095238095,41.58,106,13.333333333333334,19.047619047619047,54.285714285714285,13.333333333333334
2026-07-26 18:20:11,46.293238095238095,43.28,106,13.333333333333334,18.095238095238095,57.14285714285714,11.428571428571429
2026-07-26 18:30:02,46.25038095238095,44.44,106,13.333333333333334,19.047619047619047,56.19047619047619,11.428571428571429
2026-07-26 18:40:02,46.061142857142855,41.58,106,13.333333333333334,19.047619047619047,56.19047619047619,11.428571428571429
2026-07-26 18:50:12,45.542476190476194,40.3,106,12.380952380952381,19.047619047619047,56.19047619047619,12.380952380952381
2026-07-26 19:00:03,45.373333333333335,38.46,106,13.333333333333334,17.142857142857142,57.14285714285714,12.380952380952381
2026-07-26 19:10:11,44.962761904761905,36.21,106,11.428571428571429,14.285714285714285,59.04761904761905,15.238095238095239
2026-07-26 19:20:11,44.89380952380953,37.5,106,15.238095238095239,16.19047619047619,59.04761904761905,9.523809523809524
2026-07-26 19:30:20,44.19285714285714,37.8,106,12.380952380952381,15.238095238095239,60.952380952380956,11.428571428571429
2026-07-26 19:40:02,43.86219047619048,37.5,106,12.380952380952381,12.380952380952381,63.8095238095238,11.428571428571429
2026-07-26 19:50:02,43.41533333333333,37.37,106,12.380952380952381,15.238095238095239,63.8095238095238,8.571428571428571
2026-07-26 20:00:03,42.791047619047625,37.7,106,11.428571428571429,14.285714285714285,63.8095238095238,10.476190476190476
2026-07-26 20:10:02,42.280857142857144,37.28,106,11.428571428571429,18.095238095238095,62.857142857142854,7.6190476190476195
2026-07-26 20:20:02,41.68371428571429,36.07,106,11.428571428571429,19.047619047619047,62.857142857142854,6.666666666666667
2026-07-26 20:30:03,41.241142857142854,34.15,106,12.380952380952381,17.142857142857142,64.76190476190476,5.714285714285714
2026-07-26 20:40:02,40.35219047619047,34.0,106,11.428571428571429,17.142857142857142,65.71428571428571,5.714285714285714
2026-07-26 20:50:10,40.168000000000006,33.44,106,10.476190476190476,15.238095238095239,65.71428571428571,8.571428571428571
2026-07-26 21:00:03,39.14704761904761,32.84,106,8.571428571428571,14.285714285714285,69.52380952380952,7.6190476190476195
2026-07-26 21:10:02,38.08676190476191,31.98,106,6.666666666666667,12.380952380952381,70.47619047619048,10.476190476190476
2026-07-26 21:20:02,37.87428571428571,30.65,106,7.6190476190476195,13.333333333333334,70.47619047619048,8.571428571428571
2026-07-26 21:30:03,37.11971428571429,30.67,106,6.666666666666667,13.333333333333334,70.47619047619048,9.523809523809524
