statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
CV000952,2026-07-31T08:12:11+09:00,동대구벤처밸리 기업성장지원센터,대구광역시 동구 동대구로 465,35.872167,128.62477,True,1,1,1,0,1.0,0.0,True,841.75,CHECK_REQUIRED,835.0,CHECK_REQUIRED,CHECK_REQUIRED,STALE,N,N,False,False,True,,,,,,False,,1,63.0,,,,,151-1-000073,False,,,,False,team5_pis,943.5,,,,,,False,utic,sandbox_series,station_feature_v1
CV001396,2026-07-31T08:12:11+09:00,대구테크노파크 대구벤처센터,대구광역시 동구 동대구로 475,35.872833,128.624825,True,1,1,1,0,1.0,0.0,True,841.6833333333333,CHECK_REQUIRED,835.0,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,50.9,,,,,151-1-000016,False,,,,False,team5_pis,985.3,1510028001.0,363.5,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
CV002169,2026-07-31T08:12:11+09:00,대구스케일업허브,대구광역시 동구 동대구로 465,35.871777,128.624853,True,2,1,1,1,1.0,0.5,True,591.6833333333333,CHECK_REQUIRED,584.1,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,31.5,,,,,151-1-000073,False,,,,False,team5_pis,912.4,,,,,,False,utic,sandbox_series,station_feature_v1
CV002196,2026-07-31T08:12:11+09:00,대구경북디자인진흥원,대구광역시 동구 동대구로 461,35.871416,128.624825,True,3,3,3,0,1.0,0.0,True,841.5666666666667,CHECK_REQUIRED,835.0,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,33.7,,,,,151-1-000073,False,,,,False,team5_pis,892.5,,,,,,False,utic,sandbox_series,station_feature_v1
CV002401,2026-07-31T08:12:11+09:00,동대구역더샵센터시티아파트,대구광역시 동구 동부로19길 18,35.876749,128.623464,True,17,13,15,2,0.8666666666666667,0.1176470588235294,True,21.73333333333333,CHECK_REQUIRED,20.05,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,210.7,,,,,151-2-000091,False,,,,False,team5_pis,,1510028102.0,81.6,20.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
CV003071,2026-07-31T08:12:11+09:00,대구시_대구상공회의소,대구광역시 동구 동대구로 457,35.871083,128.624964,True,1,1,1,0,1.0,0.0,True,546.4666666666667,CHECK_REQUIRED,544.0333333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,많음,3.9752475247524752,8.088888888888889,7.606896551724138,급속,True,,1,70.7,,,,,151-1-000073,False,,,,False,team5_pis,862.6,,,,,,False,utic,sandbox_series,station_feature_v1
CV003131,2026-07-31T08:12:11+09:00,대구시_대구테크노파크 동대구캠퍼스 2동,대구광역시 동구 동대구로 481,35.87325,128.624797,True,2,1,2,0,0.5,0.0,True,76.55,CHECK_REQUIRED,70.4,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,많음,1.9698443579766536,4.288409703504043,3.034965034965035,완속,True,,1,20.6,,,,,151-1-000072,False,,,,False,team5_pis,,1510028001.0,318.4,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
EV006712,2026-07-31T08:12:11+09:00,대구동구 대구무역회관,대구광역시 동구 동대구로 489,35.874208512,128.62482043,True,3,3,3,0,1.0,0.0,True,977.8333333333334,CHECK_REQUIRED,975.5,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,1,55.7,,,,,151-1-000071,False,,,,False,team5_pis,,1510028002.0,217.2,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
HM000519,2026-07-31T08:12:11+09:00,동대구반도유보라,대구광역시 동구 송라로16길 11,35.875528732,128.61795627,True,30,27,30,0,0.9,0.0,True,54.083333333333336,CHECK_REQUIRED,50.15,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,1,72.5,,,,,151-1-000020,False,,,,False,team5_pis,,1510026401.0,92.5,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
HY000753,2026-07-31T08:12:11+09:00,현대아울렛 대구점,대구광역시 동구 동대구로 454,35.870779,128.626281,True,14,14,14,0,1.0,0.0,True,659.1333333333333,CHECK_REQUIRED,654.2833333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,N,N,False,False,True,,,,,,False,,2,24.6,,,,,151-4-000048,False,,,,False,team5_pis,743.8,,,,,,False,utic,sandbox_series,station_feature_v1
