feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
horizon_minutes,1212710,0.0,4,0.9221256524643154,0.042465787646805815,0.0,0.040602242328817366,0.5423154767981445,0.536834299096884,0.5228455772696923,0.5528460185405635,0.0017492195586119585,0.0
available_count,1212710,0.0,23,0.9221256524643154,0.24586729279136016,0.0,0.33073730129613366,0.8210394371437253,0.8244476970802654,0.8068752837426817,0.839016874953843,0.07248063047356235,0.0
usable_count,1212710,0.0,21,0.9221256524643154,0.15482507255612726,0.0,0.1931151213771484,0.6800657321520892,0.680316287622074,0.6637435521440255,0.6994104781522299,0.02731605968043005,0.0
known_charger_count,1212710,0.0,20,0.9221256524643154,0.10418689514691074,0.0,0.12366214071871462,0.6147559686572023,0.629302964821326,0.6182316322349967,0.639824745309511,0.011386855373756832,0.0
direct_observed_count,1212710,0.0,21,0.9221256524643154,0.11409349726726908,0.0,0.1292234978190021,0.6283897363413209,0.64224302537421,0.6217909564091099,0.6647484430989636,0.01177501069099196,0.0
total_chargers,1212710,0.0,37,0.9221256524643154,0.11534966869933476,0.0,0.21156499413964322,0.7153825063639765,0.7265041824784639,0.7134885704725643,0.7378568752526605,0.027897483472920204,0.0
observation_coverage,1212710,0.0,148,0.9221256524643154,-0.1457214445294152,0.0,-0.14920241370283088,0.6242031860899913,0.6251015698037187,0.6130594775458984,0.6355371160221528,0.02248342093335176,0.0
direct_observation_coverage,1212710,0.0,116,0.9221256524643154,0.023637062377399817,2.0699425983729713e-149,0.027688495474080536,0.5259372690523709,0.5317057796045132,0.5043177999600147,0.5694680443483255,0.01596187954795747,2.483931118047566e-149
observation_age_minutes,1212710,0.0,563,0.9221256524643154,-0.07538786524176144,0.0,-0.08505799690084302,0.5663510673091554,0.5699896840779084,0.5424484363509672,0.601882606112146,0.0020929961151796572,0.0
available_count_delta_1tick,1100382,0.09262560711134571,25,0.9328524094359959,0.10454004831626458,0.0,0.11135616146670733,0.5734825250760762,0.5603067423083183,0.5377736980260378,0.5834829439363793,0.009779084537141047,0.0
minutes_since_last_change,1212710,0.0,30756,0.9221256524643154,0.10162352287715898,0.0,0.20359818975694421,0.7183361290574333,0.7111997660605451,0.6949162529018004,0.7299467521059724,0.02963410527804844,0.0
hour,1212710,0.0,24,0.9221256524643154,-0.051576801694145455,0.0,-0.05462218343437007,0.5587847811561035,0.5468088698440123,0.5046820527743896,0.5851374818607656,0.006091762375912468,0.0
weekday,1212710,0.0,7,0.9221256524643154,0.002320047348571066,0.010621551175685666,0.0016074957850495159,0.5017033603441545,0.5083915538867899,0.5005238645250519,0.5244971698323295,1.2103852672584736e-05,0.010621551175685666
is_weekend,1212710,0.0,2,0.9221256524643154,0.007136714785430585,3.863956802305414e-15,0.007136714785428131,0.5053373744830177,0.5029868242647896,0.5002331641304189,0.5162693112562592,4.849895611824806e-05,4.346951402593591e-15
sessions_per_charger,90550,0.9253325197285418,192,0.7234345665378245,-0.09573898540639832,2.4411909665258484e-183,-0.1269850481960493,0.5819395713639413,0.5848044579408167,0.5609536453153736,0.603652339503497,0.11927042415894284,3.138674099818948e-183
usage_daytype_avg,90550,0.9253325197285418,362,0.7234345665378245,0.016789055799178075,4.363622969181232e-07,-0.020701328505944278,0.5133589814265704,0.5081016164907435,0.5009285986017444,0.5233105466459738,0.12001971839465186,4.6203066732507166e-07
history_observed,1212710,0.0,2,0.9221256524643154,-0.21062162363906226,0.0,-0.21062162363906156,0.603298819598596,0.6089536599904508,0.588836015177131,0.6205478358633458,0.014255157931593265,0.0
unobserved_rate,1212710,0.0,148,0.9221256524643154,0.1457214445294152,0.0,0.14920241370283088,0.6242031860899913,0.6251015698037187,0.6130594775458983,0.6355371160221528,0.01771857413811806,0.0
