horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
5,horizon_minutes,329974,0.0,1,0.9119597301605581,,,,,,,,,
5,available_count,329974,0.0,23,0.9119597301605581,0.32357083650493,0.0,0.452467265879242,0.907662707869129,0.9123090256048941,0.8964566983645584,0.9288032982049618,0.13968373984768268,0.0
5,usable_count,329974,0.0,21,0.9119597301605581,0.1784664883384451,0.0,0.2287241713446387,0.6997013013582075,0.7055451168282193,0.6857741965573092,0.728700440362685,0.04328876104030144,0.0
5,known_charger_count,329974,0.0,20,0.9119597301605581,0.1053447194882007,0.0,0.12725828136991268,0.6106358934948205,0.6031179427794241,0.5958136754443154,0.6108225155377253,0.012676363299729543,0.0
5,direct_observed_count,329974,0.0,20,0.9119597301605581,0.11805996413975763,0.0,0.13299462101857903,0.6255163176020478,0.6337981377168258,0.6143580692825094,0.6605983433821487,0.013722040623464826,0.0
5,total_chargers,329974,0.0,37,0.9119597301605581,0.12772716226915592,0.0,0.23701776133570848,0.7288394135325533,0.725082375753931,0.7150615223517074,0.7355361238321314,0.03436015610225218,0.0
5,observation_coverage,329974,0.0,147,0.9119597301605581,-0.1725384801762317,0.0,-0.17734219229746492,0.6437786468472224,0.6457047513825704,0.6350960342222596,0.6531173110155056,0.030319492029718287,0.0
5,direct_observation_coverage,329974,0.0,115,0.9119597301605581,0.027519050255716073,2.6210797262380313e-56,0.03476389218218836,0.5314455694817607,0.5446650461425515,0.5168748944065422,0.5820453410741321,0.019253957092877583,3.427565795849733e-56
5,observation_age_minutes,329974,0.0,478,0.9119597301605581,-0.0805339849305189,0.0,-0.09204858310479495,0.5714678143390545,0.5826675895576827,0.5595195699784572,0.6125650639707699,0.005399850617862079,0.0
5,available_count_delta_1tick,297603,0.0981016686163152,23,0.9248999506053366,0.14385613738202455,0.0,0.15001858531080803,0.5951649979679869,0.583891554720878,0.5699777367112427,0.6016842076882911,0.012821117299472329,0.0
5,minutes_since_last_change,329974,0.0,30651,0.9119597301605581,0.11033178964280707,0.0,0.21843772940495393,0.721381944611923,0.7076850670395551,0.6940244667613427,0.7248389454510699,0.036962056007917354,0.0
5,hour,329974,0.0,24,0.9119597301605581,-0.05709391647605529,2.7379082166042156e-236,-0.060306966284815564,0.5613787252739273,0.5419194320408194,0.5052760433693088,0.5843821569567705,0.00631695879370886,3.878703306855972e-236
5,weekday,329974,0.0,7,0.9119597301605581,0.0031643800678585856,0.06910632663200157,0.0028575709876498354,0.5028631033970723,0.5051316152685414,0.5006817711510946,0.5235793516770242,0.002541987595312767,0.06910632663200157
5,is_weekend,329974,0.0,2,0.9119597301605581,0.008803641324764747,4.254870564392282e-07,0.008803641324764862,0.5062318710949175,0.5049316822061308,0.5009311664413469,0.5187857399338396,0.0029678658599916474,4.822186639644586e-07
5,sessions_per_charger,28444,0.9137992690333178,192,0.6881943467866686,-0.09312850129228684,8.048017019932485e-56,-0.12269902167338022,0.576455825657034,0.5755240852880998,0.5611888132452746,0.5894899122623893,0.12209803619514492,9.772592095632303e-56
5,usage_daytype_avg,28444,0.9137992690333178,362,0.6881943467866686,0.025201067095361726,2.1306901725583822e-05,-0.012019184552193947,0.5074897122541572,0.5023915472870417,0.5000830230518328,0.5193183582836471,0.12316450460665829,2.263858308343281e-05
5,history_observed,329974,0.0,2,0.9119597301605581,-0.24254619154717247,0.0,-0.24254619154717033,0.6201204162095357,0.6134627460059705,0.5997405228373527,0.6285799962589305,0.018922769224260172,0.0
5,unobserved_rate,329974,0.0,147,0.9119597301605581,0.17253848017623166,0.0,0.17734219229746492,0.6437786468472224,0.6457047513825703,0.6350960342222596,0.6531173110155056,0.025001198812542036,0.0
10,horizon_minutes,325361,0.0,1,0.9131948819926174,,,,,,,,,
10,available_count,325361,0.0,23,0.9131948819926174,0.3122616846820736,0.0,0.4344817382116881,0.8953101316964281,0.9037770174248336,0.8928593408448819,0.9154910630945622,0.13599465475291317,0.0
