충전소ID,기준시각,사용가능_대수,전체_충전기수,관측_가용률,상태신뢰도_등급,관측신선도_등급,좌표_유효,확정가용_여부,위도,경도,미관측_비율,상태경과_분,관측경과_분
HM000155,2026-08-09T07:23:21+09:00,10,14,0.7142857142857143,확인필요(15분초과),확인필요(15분초과),True,True,35.941639222,128.56186575,0.0,67.31666666666666,60.083333333333336
HM000158,2026-08-09T07:23:21+09:00,17,20,0.85,높음(5분이내),높음(5분이내),True,True,35.874343358,128.48067901,0.0,1.3333333333333333,0.0
HM000159,2026-08-09T07:23:21+09:00,4,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.922869484,128.54320576,0.2,1093.3166666666666,1085.45
HM000167,2026-08-09T07:23:21+09:00,7,11,0.7,확인필요(15분초과),확인필요(15분초과),True,True,35.868298563,128.72813605,0.09090909090909091,49.333333333333336,40.06666666666667
HM000169,2026-08-09T07:23:21+09:00,3,4,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.87558307,128.66936076,0.0,69.33333333333333,60.083333333333336
HM000177,2026-08-09T07:23:21+09:00,2,5,0.5,확인필요(15분초과),확인필요(15분초과),True,True,35.942403225,128.56650338,0.2,65.31666666666666,60.083333333333336
HM000183,2026-08-09T07:23:21+09:00,5,8,0.625,확인필요(15분초과),확인필요(15분초과),True,True,35.837925336,128.59599031,0.0,219.33333333333334,210.2
HM000195,2026-08-09T07:23:21+09:00,1,5,0.2,확인필요(15분초과),확인필요(15분초과),True,True,35.852691922,128.51332918,0.0,375.3,370.3333333333333
HM000196,2026-08-09T07:23:21+09:00,2,5,0.4,확인필요(15분초과),확인필요(15분초과),True,True,35.861737938,128.69284503,0.0,35.31666666666667,30.033333333333335
HM000197,2026-08-09T07:23:21+09:00,0,10,,확인필요(15분초과),확인필요(15분초과),True,False,35.824959176,128.52406702,1.0,,
HM000202,2026-08-09T07:23:21+09:00,3,5,0.6,보통(5~15분),높음(5분이내),True,True,35.873091458,128.71592368,0.0,7.316666666666666,0.0
HM000203,2026-08-09T07:23:21+09:00,4,15,0.26666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.908855001,128.54401626,0.0,321.31666666666666,320.3
HM000204,2026-08-09T07:23:21+09:00,3,5,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.954065,128.5518032,0.2,611.3166666666667,604.7333333333333
HM000205,2026-08-09T07:23:21+09:00,2,4,0.6666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.876490175,128.67404454,0.25,2301.3166666666666,2300.75
HM000206,2026-08-09T07:23:21+09:00,2,5,0.4,확인필요(15분초과),확인필요(15분초과),True,True,35.854142099,128.62249445,0.0,507.3,504.55
HM000208,2026-08-09T07:23:21+09:00,27,32,0.84375,확인필요(15분초과),확인필요(15분초과),True,True,35.6920828,128.4503466,0.0,37.31666666666667,30.033333333333335
HM000209,2026-08-09T07:23:21+09:00,49,60,0.8596491228070176,보통(5~15분),높음(5분이내),True,True,35.7945441,128.4660449,0.05,5.316666666666666,0.0
