ts,file,links,n_smooth,n_slow,n_jam,pct_smooth,pct_slow,pct_jam,pct_congested,speed_mean,speed_median,hour,date
2026-07-22 16:47:00,daegu_traffic_linkspeed_20260722_164700.csv,1960,1070,742,148,54.59,37.86,7.55,45.41,30.72,27.0,16,2026-07-22
2026-07-22 16:54:36,daegu_traffic_linkspeed_20260722_165436.csv,1960,1066,739,155,54.39,37.7,7.91,45.61,30.46,27.0,16,2026-07-22
2026-07-22 16:55:21,daegu_traffic_linkspeed_20260722_165521.csv,1960,1066,739,155,54.39,37.7,7.91,45.61,30.46,27.0,16,2026-07-22
2026-07-22 17:04:55,daegu_traffic_linkspeed_20260722_170455.csv,1960,1073,731,156,54.74,37.3,7.96,45.26,30.34,27.0,17,2026-07-22
2026-07-22 17:10:27,daegu_traffic_linkspeed_20260722_171027.csv,1960,1004,772,184,51.22,39.39,9.39,48.78,29.55,26.0,17,2026-07-22
2026-07-22 17:25:36,daegu_traffic_linkspeed_20260722_172536.csv,1960,927,821,212,47.3,41.89,10.82,52.7,28.83,25.0,17,2026-07-22
2026-07-22 17:40:53,daegu_traffic_linkspeed_20260722_174053.csv,1960,873,869,218,44.54,44.34,11.12,55.46,28.4,25.0,17,2026-07-22
2026-07-22 20:01:33,daegu_traffic_linkspeed_20260722_200133.csv,1960,1417,491,52,72.3,25.05,2.65,27.7,35.27,31.0,20,2026-07-22
2026-07-22 20:02:51,daegu_traffic_linkspeed_20260722_200251.csv,1960,1431,485,44,73.01,24.74,2.24,26.99,35.5,31.0,20,2026-07-22
2026-07-22 20:16:48,daegu_traffic_linkspeed_20260722_201648.csv,1960,1425,484,51,72.7,24.69,2.6,27.3,35.16,30.0,20,2026-07-22
2026-07-22 20:18:09,daegu_traffic_linkspeed_20260722_201809.csv,1960,1403,513,44,71.58,26.17,2.24,28.42,35.1,31.0,20,2026-07-22
2026-07-22 20:32:01,daegu_traffic_linkspeed_20260722_203201.csv,1960,1405,519,36,71.68,26.48,1.84,28.32,34.9,30.0,20,2026-07-22
2026-07-22 20:33:21,daegu_traffic_linkspeed_20260722_203321.csv,1960,1416,495,49,72.24,25.26,2.5,27.76,34.97,30.0,20,2026-07-22
2026-07-22 20:47:26,daegu_traffic_linkspeed_20260722_204726.csv,1960,1510,414,36,77.04,21.12,1.84,22.96,35.82,31.0,20,2026-07-22
2026-07-22 20:48:34,daegu_traffic_linkspeed_20260722_204834.csv,1960,1520,399,41,77.55,20.36,2.09,22.45,36.06,31.0,20,2026-07-22
2026-07-22 21:02:35,daegu_traffic_linkspeed_20260722_210235.csv,1960,1524,385,51,77.76,19.64,2.6,22.24,36.41,32.0,21,2026-07-22
2026-07-22 21:03:40,daegu_traffic_linkspeed_20260722_210340.csv,1960,1558,352,50,79.49,17.96,2.55,20.51,36.53,32.0,21,2026-07-22
2026-07-22 21:18:42,daegu_traffic_linkspeed_20260722_211842.csv,1960,1474,452,34,75.2,23.06,1.73,24.8,35.72,31.0,21,2026-07-22
