hour,availability_ratio_observed
7,0.7755211691381904
8,0.776150237181789
9,0.7465432111602717
10,0.7374984535539971
11,0.733240989012194
12,0.7224085553299414
13,0.7103950911792207
14,0.6933970505493804
15,0.6603790264696096
16,0.6456665971366576
17,0.6187330353299157
18,0.5788459193678629
19,0.5554044865960562
20,0.52084248528493
21,0.46094449696585266
22,0.41658425869539145
