,available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min
available_count,1.0,0.7036065453890893,0.9187665065446122,0.0246209159533396,0.0008307971108189094,0.008651836097764503,-0.012404958571724864,0.005050328384701044,-0.012555525253661414
total_chargers,0.7036065453890893,1.0,0.7644242924428529,-0.39429754902457903,-0.0020435888204323686,-0.0014733957016587666,-0.18857714519391017,-0.14501975590187824,-0.055776459149409076
known_charger_count,0.9187665065446122,0.7644242924428529,1.0,0.024036749537097446,0.008750410837036055,0.012415970316837123,-0.222029556939719,-0.16466315136585538,-0.019803553470746447
observation_coverage,0.0246209159533396,-0.39429754902457903,0.024036749537097446,1.0,0.017512611286208478,0.018526157413444058,-0.009053746044032224,-0.001878942012385185,0.04912536281733958
hour,0.0008307971108189094,-0.0020435888204323686,0.008750410837036055,0.017512611286208478,1.0,0.003514767034619919,-0.0538203054665154,-0.05638760534087825,-0.013798420869736061
weekday,0.008651836097764503,-0.0014733957016587666,0.012415970316837123,0.018526157413444058,0.003514767034619919,1.0,-0.0018402053904015758,0.000961351849915662,0.005203188818186529
avail_rate_lag_15m,-0.012404958571724864,-0.18857714519391017,-0.222029556939719,-0.009053746044032224,-0.0538203054665154,-0.0018402053904015758,1.0,0.6214273281448984,0.04872328552240409
avail_rate_lag_60m,0.005050328384701044,-0.14501975590187824,-0.16466315136585538,-0.001878942012385185,-0.05638760534087825,0.000961351849915662,0.6214273281448984,1.0,0.056420689480606315
tmap_eta_min,-0.012555525253661414,-0.055776459149409076,-0.019803553470746447,0.04912536281733958,-0.013798420869736061,0.005203188818186529,0.04872328552240409,0.056420689480606315,1.0
