name_pattern,stations,unobserved_rate,history_rate
포레스트,19,0.0,0.0
이다음,42,0.16666666666666666,0.0
자이,27,0.14814814814814814,0.0
힐스테이트,27,0.1111111111111111,0.0
푸르지오,72,0.08333333333333333,0.027777777777777776
e편한세상,48,0.08333333333333333,0.0
센트레빌,3,0.0,0.0
서한,88,0.10227272727272728,0.0
