hour,mean_pct,median_pct,ticks,days
0,43.71247982480626,40.41339456165364,24,2
1,39.098177048040704,39.84672944223345,24,2
2,40.98229986596737,40.87688507540302,24,2
3,43.68911517655931,43.8148523967905,24,2
4,46.315559752584385,46.2273264575878,24,2
5,50.699099072070176,50.74902655288403,24,2
6,57.514171823987255,57.850459380965646,24,2
7,73.72553924649573,75.47413239631251,44,5
8,78.58712249527146,78.93617021276596,79,8
9,78.07451835273139,77.91036860249271,49,8
10,78.24803735585304,78.08746150010785,48,8
11,78.14774573236828,77.87348146644034,48,8
12,77.19486467246473,76.6771391609684,47,8
13,75.83645474024897,74.08979227161045,49,9
14,73.79257907774523,72.22327960654219,52,9
15,71.86425745023386,70.7428220113274,54,9
16,66.56867245402577,66.23807993142611,47,9
17,63.1963484963113,62.23832528180354,37,8
18,59.75670064261005,60.03720014018053,24,5
19,55.17663712760975,56.347815846241126,24,5
20,48.74716959482134,51.79964175843595,38,8
21,40.153135987991305,36.87597216072301,36,7
22,33.39313988893266,31.24100828597533,26,4
23,30.348555656894263,30.366330145206902,12,1
