statId,busiId,busiNm,bnm,match_name,fee_operator_nm,fee_match_level,fee_type_sample,capacity_class_sample,member_won_sample,nonmember_won_sample,fee_updated_at_sample
ME18C176,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C177,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C178,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C229,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C230,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C251,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C254,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C255,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C257,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C258,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C259,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C260,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C261,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C262,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C263,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C264,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C265,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME18C405,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19C130,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19C143,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19C227,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19C289,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
