hour,mean_pct,median_pct,ticks,days
0,51.54154183407902,53.717154454176466,93,14
1,50.4567128998845,53.338492210414685,96,14
2,51.10170908240108,53.70538767413028,96,14
3,52.17226552841911,54.229180816318845,96,14
4,53.47597292462218,55.06513013490577,96,14
5,55.76386560050177,56.98812980239556,96,14
6,59.61009474748184,60.83279082857204,96,14
7,68.4588488071068,67.10821117550933,116,17
8,75.19298983464066,75.96424363505969,150,20
9,76.70456583093564,77.76261937244202,121,20
10,78.50087379344777,79.92427658526597,120,20
11,79.40679982353062,81.39796364544944,119,20
12,79.44999135908124,81.78430631311767,119,20
13,78.93837858824907,81.60905247450883,121,21
14,77.86582134715702,81.21188902706473,124,21
15,76.60910946748413,80.57213529063827,128,21
16,73.96762969318326,77.04449152542374,119,21
17,71.94688629948665,75.49097453813985,109,20
18,69.20587809035679,71.61538023496146,96,17
19,64.12539704765409,66.2645900407188,96,17
20,57.83201771694544,61.146395060870034,106,20
21,52.854587438836816,57.6636089342888,108,19
22,50.356433401566925,55.62022747904096,97,16
23,51.45908406076096,54.531370970484105,84,13
