hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,20,5,87.82,11.63,0.55,12.18,40.18,40.16
1,20,5,89.28,10.38,0.33,10.72,40.83,40.87
2,20,5,90.54,9.0,0.46,9.46,41.48,41.47
3,20,5,91.72,8.08,0.2,8.28,42.07,42.0
4,20,5,92.01,7.75,0.25,7.99,42.22,42.24
5,20,5,91.44,8.27,0.29,8.56,41.92,41.9
6,19,5,88.5,10.83,0.67,11.5,40.43,40.43
7,21,6,79.93,18.08,1.99,20.07,37.71,37.68
8,25,6,65.58,29.83,4.59,34.42,33.7,32.66
9,24,6,64.4,30.82,4.78,35.6,33.23,32.36
10,24,6,62.31,32.99,4.7,37.69,32.66,32.1
11,20,5,60.96,33.35,5.69,39.04,32.46,32.15
12,20,5,61.42,33.3,5.28,38.58,32.63,32.79
13,20,5,60.47,34.05,5.48,39.53,32.28,32.48
14,20,5,58.62,35.96,5.41,41.38,31.75,31.66
15,19,5,57.41,36.61,5.98,42.59,31.37,31.31
16,20,6,55.02,36.72,8.27,44.98,30.72,30.55
17,24,6,51.94,37.64,10.42,48.06,29.94,29.44
18,19,5,51.7,33.83,14.47,48.3,29.66,28.43
19,20,5,62.79,30.1,7.12,37.21,32.89,33.94
20,28,6,72.24,25.52,2.23,27.76,35.12,35.1
21,25,6,76.17,21.87,1.96,23.83,36.11,36.18
22,24,6,79.67,19.1,1.23,20.33,37.23,37.21
23,20,5,85.44,13.66,0.9,14.56,39.37,38.96
