matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence
154-1-000083,한국농어촌공사앞,대구광역시 북구 구암동 761-2,공영,39,NEARBY_ONLY,84.2,1,PL031994,대구 북구 칠곡서한타운3차,좌표 거리 84.2m · 거리만 가까움: 현장/주소 검토 필요
153-2-000054,공한지 무료주차장,대구광역시 남구 봉덕2동 1023-13번지,공영,6,NEARBY_ONLY,84.4,1,PL031612,대구 앞산봉덕영무예다음아파트,좌표 거리 84.4m · 거리만 가까움: 현장/주소 검토 필요
155-2-000061,신매1공영주차장,대구광역시 수성구 신매동 568-12,공영,37,NEARBY_ONLY,84.4,1,IN053072,시지삼주한라협화타운아파트,좌표 거리 84.4m · 거리만 가까움: 현장/주소 검토 필요
155-2-000107,임시공영81,대구광역시 수성구 사월동 419-7,공영,5,NEARBY_ONLY,84.4,1,PW013147,사월화성파크드림1단지 입주자대표회의,좌표 거리 84.4m · 거리만 가까움: 현장/주소 검토 필요
153-2-000020,바다맛길 공영주차장,대구광역시 남구 대명10동 1225-31번지,공영,22,NEARBY_ONLY,84.6,1,ME23B115,남구시니어행복센터,좌표 거리 84.6m · 거리만 가까움: 현장/주소 검토 필요
155-1-000006,고산로,대구광역시 수성구 매호동 1330,공영,54,NEARBY_ONLY,84.8,1,TS272602,대구시지하나타운,좌표 거리 84.8m · 거리만 가까움: 현장/주소 검토 필요
156-1-000023,대구공업대학교 서편,대구광역시 달서구 본동 817,공영,22,NEARBY_ONLY,85.3,1,EZ002091,대구공업대학교_위니텍,좌표 거리 85.3m · 거리만 가까움: 현장/주소 검토 필요
150-2-000023,노외(공한지),대구광역시 중구 남산동 632-4,공영,4,NEARBY_ONLY,85.4,1,PC001966,대구광역시 동부교육지원청,좌표 거리 85.4m · 거리만 가까움: 현장/주소 검토 필요
155-2-000058,수성구 무료 공영주차장,대구광역시 수성구 화랑로2길 107,공영,5,NEARBY_ONLY,86.6,1,PI783362,대구 매호동 일반주택,좌표 거리 86.6m · 거리만 가까움: 현장/주소 검토 필요
151-1-000026,동부로30길 (1),대구광역시 동구 신천동 303-1,공영,10,NEARBY_ONLY,86.9,2,AZ100020,올인워크,좌표 거리 86.9m · 거리만 가까움: 현장/주소 검토 필요
157-1-000123,용호로1길,대구광역시 달성군 논공읍 북리 824-178,공영,20,NEARBY_ONLY,87.6,1,PI645291,대구시 달성군 평광현대3차,좌표 거리 87.6m · 거리만 가까움: 현장/주소 검토 필요
157-1-000070,다사역로 B,대구광역시 달성군 다사읍 매곡리 693-6,공영,31,NEARBY_ONLY,87.7,1,HM000514,죽곡삼정그린코아더베스트,좌표 거리 87.7m · 거리만 가까움: 현장/주소 검토 필요
156-1-000049,성서공단남로(1),대구광역시 달서구 대천동 623,공영,87,NEARBY_ONLY,87.8,1,PI764340,성서드림타운,좌표 거리 87.8m · 거리만 가까움: 현장/주소 검토 필요
151-1-000048,동촌로5길,대구광역시 동구 입석동 930-3,공영,2,NEARBY_ONLY,88.4,1,PI740172,동촌화성타운101동,좌표 거리 88.4m · 거리만 가까움: 현장/주소 검토 필요
152-1-000065,북비산로37길,대구광역시 서구 평리동 290-24,공영,54,NEARBY_ONLY,88.6,1,PW015042,주식회사 초이스골프(SP),좌표 거리 88.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000094,노원로10길(1),대구광역시 북구 노원동3가 252-3,공영,25,NEARBY_ONLY,88.6,2,CV003673,대구노원한신더휴아파트 지하1층,좌표 거리 88.6m · 거리만 가까움: 현장/주소 검토 필요
151-1-000090,신암청아람 (북),대구광역시 동구 신암동 484-8,공영,16,NEARBY_ONLY,88.7,1,CV000555,대구시_신암2동 행정복지센터,좌표 거리 88.7m · 거리만 가까움: 현장/주소 검토 필요
156-2-000005,새각단 주차장,대구시 달서구 대곡동 639,공영,13,NEARBY_ONLY,88.9,1,ST601140,열경의료재단허병원,좌표 거리 88.9m · 거리만 가까움: 현장/주소 검토 필요
156-2-000027,학산공원 북주차장,대구시 달서구 본동 산 32-4,공영,110,NEARBY_ONLY,89.3,1,KP003780,달서구노인종합복지관,좌표 거리 89.3m · 거리만 가까움: 현장/주소 검토 필요
152-1-000052,문화로 47길,대구광역시 서구 평리동 685-25,공영,17,NEARBY_ONLY,89.3,4,EV012411,대구서구 서대구역반도유보라센텀 1,좌표 거리 89.3m · 거리만 가까움: 현장/주소 검토 필요
