statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
PI700396,칠곡e편한세상,대구광역시 북구 칠곡중앙대로 598,35.948891,128.553639,01,02,7,09시~22시,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.948891,128.553639,158.43724689231644
EV003987,칠곡e편한세상,대구광역시 북구 칠곡중앙대로 598,35.949567138,128.55337618,08,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.949567138,128.55337618,196.22208304170388
KE000709,대구SD아이프라임강북103동,대구광역시 북구 칠곡중앙대로125길 7,35.9502922,128.5513526,06,02,7,24시간 이용가능,한국전기차인프라기술,Y,N,2026-07-25T20:38:50+09:00,35.9502922,128.5513526,256.0123725061577
ME20C286,읍내동 행정복지센터,대구광역시 북구 읍내동 660-2,35.946211,128.550539,21,04,200,24시간 이용가능,기후에너지환경부,Y,N,2026-07-25T20:38:50+09:00,35.946211,128.550539,256.06618968718266
CV001732,칠곡우방타운아파트,대구광역시 북구 칠곡중앙대로115길 24,35.9477922,128.5491439,04,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.9477922,128.5491439,275.59084027311235
HY000508,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.948887,128.5552953,02,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.948887,128.5552953,293.8196853818544
KE001089,대구북구SD아이프라임강북B1-01,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,02,02,7,24시간 이용가능,한국전기차인프라기술(주),N,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483
KE000230,대구SD아이프라임강북102동,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,02,02,7,24시간 이용가능,한국전기차인프라기술,Y,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483
KE001090,대구북구SD아이프라임강북B1-02,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,01,02,7,24시간 이용가능,한국전기차인프라기술(주),N,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483
HY000509,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9485025,128.5557588,01,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9485025,128.5557588,325.1153355108751
HY000507,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9490674,128.5556313,02,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9490674,128.5556313,328.85839189015417
KP001594,sd아이프라임강북,대구광역시 북구 읍내동 칠곡중앙대로125길 7,35.9513690611,128.5518573185,01,06,50,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.9513690611,128.5518573185,365.77091857768204
EV011762,대구북구 칠곡3차보성타운 4,대구광역시 북구 칠곡중앙대로126길 7-12,35.951026867,128.55442881,03,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.951026867,128.55442881,384.0455478475199
HY000506,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9498722,128.5561098,01,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9498722,128.5561098,405.2122563155811
CV000977,포르쉐 데스티네이션 홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.9447903,128.5555301,01,02,7,10:00~22:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.9447903,128.5555301,474.77667983444525
EV006886,대구북구 칠곡3차보성타운,대구광역시 북구 칠곡중앙대로126길 7-12,35.951335628,128.55583097,03,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.951335628,128.55583097,487.9030733057484
DC530017,강북태왕아너스더퍼스,대구광역시 북구 칠곡중앙대로110길 10,35.943697061,128.55246193,01,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.943697061,128.55246193,489.1387481741622
KP002192,홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.9448492727,128.5559675379,01,06,,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.9448492727,128.5559675379,495.9055234086702
CV000976,홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.944825,128.55597,14,08,30,10:00~22:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.944825,128.55597,498.0220565486615
KP003790,칠곡홈플러스(추가분),대구광역시 북구 동암로12길 8,35.944876238423,128.5560423157,01,04,50,09:00~18:00,한국전력,N,N,2026-07-25T20:38:50+09:00,35.944876238423,128.5560423157,498.3992019653059
