station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DAGU0006,(RS)대구시_대구공공시설관리공단서부사업소,35.822699,128.49692,,,,80.0,False
DAGU0008,(RS)대구시_봉덕2동행정복지센터,35.891997,128.602271,,,,80.0,False
DAGU0011,(RS)대구시_동대구복합환승센터,35.877943,128.629186,,,,80.0,False
DAGU0019,(RS)대구시_충혼탑,35.832254,128.583746,,,,80.0,False
DAGU0039,(RS)대구시_불로봉무동행정복지센터,35.910245,128.639324,,,,80.0,False
DAGU0050,(RS)대구시_동촌유원지,35.882332,128.650712,,,,80.0,False
DAGU0065,(RS)대구시_외곽순환도로 칠곡졸음쉼터,35.905106,128.478921,,,,80.0,False
DAGU0075,(RS)대구시_매천역환승공영주차장,35.91434098,128.5427249,,,,80.0,False
DAGU0079,(RS)대구시_시청별관,35.891164,128.597077,,,,80.0,False
DAGU0081,"(철거)(RS)대구시_내당2,3동 행정복지센터",35.867278,128.574524,,,,80.0,False
DGBC0001,(RS)대구시_방촌동 행정복지센터,35.880036,128.665257,,,,80.0,False
DGHG0001,(RS)대구시_황금1동 행정복지센터,35.843981,128.638144,,,,80.0,False
DGSD0001,(RS)대구시_상리공원,35.863071,128.533954,,,,80.0,False
DISR0002,(RS)대구시_대구국제사격장,35.9113,128.524334,,,,80.0,False
DSGN0002,(RS)대구시_달성군청,35.7738625,128.4309761,,,,80.0,False
IBIL0002,(RS)대구시_아이빌,35.924938,128.540971,,,,80.0,False
PGSA0002,(RS)대구시_파계사주차장,36.00223295,128.6404586,,,,80.0,False
SHLG0001,(RS)대구시_상호림공원,35.83776353,128.4794008,,,,80.0,False
