hour,mean_pct,median_pct,ticks,days
0,45.12872904398079,47.41865724228148,36,4
1,42.01167544996468,44.616483643019045,36,4
2,43.353085866063644,45.19657570957181,36,4
3,45.37256235385597,47.0161819641242,36,4
4,47.46624801440418,48.70611130959679,36,4
5,51.02874333238637,51.71263024953396,36,4
6,56.5836679471887,56.10131779496536,36,4
7,70.74008854407897,70.6960294049361,56,7
8,76.91169252964089,78.74087591240875,90,10
9,76.55667920409084,77.76261937244202,55,9
10,77.16174357244945,77.42406670279371,54,9
11,77.39272387845038,76.59252357452073,54,9
12,76.73167571123109,75.15188335358445,53,9
13,75.61959218752703,73.94806276905985,55,10
14,73.72733614531788,72.76249819610655,58,10
15,71.865706689944,71.2094917426888,60,10
16,67.00899418478382,67.01270529903935,53,10
17,63.886065663015174,63.79293081005307,43,9
18,60.82389751835639,61.894142149374034,30,6
19,56.41791531910702,57.036974729261644,30,6
20,50.12517101906704,52.50157484185465,46,9
21,43.29260662581902,42.419553686649515,48,9
22,38.25952051839414,32.060871808099044,37,6
23,39.441800263117365,38.323633932031626,24,3
