ts,gap_min,snapshot_id
2026-07-18 07:20:11,580.1833333333333,20260718_072011
2026-07-19 07:49:27,553.1,20260719_074927
2026-07-20 08:14:32,671.9833333333333,20260720_081432
2026-07-20 20:11:03,155.1,20260720_201103
2026-07-21 08:30:39,589.4,20260721_083039
2026-07-21 20:22:51,159.56666666666666,20260721_202251
2026-07-22 08:18:54,565.6833333333333,20260722_081854
2026-07-22 20:01:45,180.81666666666666,20260722_200145
2026-07-23 16:21:22,27.783333333333335,20260723_162122
2026-07-24 00:01:27,455.05,20260724_000127
