hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,72.72756687258567,24,24.880877178985184,24,24.461590151643843,24
1,70.18657787119639,24,26.56693510992479,24,27.157520728625883,24
2,71.4994436030968,24,30.1903939017845,24,30.69725129320035,24
3,73.29417312066452,24,33.3619352979694,24,34.631738492835126,24
4,74.95829016044956,24,36.43173383865435,24,37.72836367018773,24
5,75.97206372366914,24,42.248937867805495,24,43.605288584544205,24
6,76.65692528008742,24,51.44958770796751,24,52.67439219716989,24
7,81.1425952618474,44,70.05263791754668,44,69.62368567349924,44
8,79.74065147098445,79,77.75678660014634,79,77.54136809697356,79
9,74.46209642611959,49,79.65313661373965,49,79.6813059633625,49
10,73.27425610086748,48,80.22703514824624,48,80.18198693220693,48
11,73.56451541946565,48,79.87319212155877,48,79.44132804330327,48
12,73.16414206143213,47,78.63502197072489,47,78.29412212340247,47
13,73.42287352200175,49,76.17731768814438,49,76.31988341668941,49
14,72.64169199431954,52,73.8013963021913,52,74.1637161623203,52
15,72.22448166116207,54,71.54345042727499,54,72.30331312854057,54
16,69.91440610420564,47,64.15015660045486,47,64.73185265826535,47
17,69.27433923471911,37,60.79238358217226,37,61.400780368100484,37
18,68.72748244965098,24,56.69768006623213,24,58.14159864574386,24
19,66.5479145107715,24,51.469331265735896,24,53.18748577844093,24
20,67.29064013418694,38,37.904824130667365,38,39.555441428585645,38
21,63.72729440752932,36,30.811423235454317,36,31.494438115273347,36
22,61.419662028186174,26,23.63540199266412,26,23.929666123206673,26
23,60.42663604614509,12,20.68564682967004,12,20.94068054354502,12
