bucket,stations,total_chargers_mean,unobserved_rate_mean,confirmed_rate,d1_avail_mean_observed,d1_avail_n,d2_avail_mean,d2_stations_with_panel
1,729,1.0,0.1756,0.7023,0.8519,601,0.8035,613
2-3,1507,2.36,0.2275,0.7857,0.8159,1251,0.7656,1270
4-6,882,4.89,0.1625,0.8934,0.7857,796,0.7053,802
7+,1092,15.36,0.1573,0.9212,0.7793,1007,0.6664,1011
