spec,train_pr_auc,valid_pr_auc,test_pr_auc,gap_train_valid_pr,gap_train_test_pr,gap_valid_test_pr,train_neg_recall,valid_neg_recall,test_neg_recall,gap_train_test_neg,train_brier,valid_brier,test_brier,gap_train_test_brier,n_features,n_iter,features
minimal5,0.9690877862122889,0.9781154525094544,0.9786532459181689,-0.00902766629716556,-0.009565459705880075,-0.0005377934087145153,0.8543091835926151,0.8850714839853707,0.8949035416066801,-0.04059435801406497,0.18859792712422857,0.17707852195231055,0.18058291383013692,-0.008015013294091655,5,200,"available_count,total_chargers,known_charger_count,observation_coverage,tmap_eta_min"
final9,0.9765138355939823,0.9821403470410882,0.9812916256968585,-0.0056265114471059086,-0.004777790102876156,0.0008487213442297525,0.8528036766065344,0.8405186744985038,0.8337172473365966,0.019086429269937866,0.16842916435124544,0.1531939304810744,0.16031623550651145,-0.008112928844733996,9,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min"
final9_plus_horizon_hav,0.9789381106281994,0.9840857966904086,0.9830030161386967,-0.005147686062209278,-0.004064905510497319,0.0010827805517119593,0.8616254192969018,0.8439543389116702,0.8337172473365966,0.02790817196030526,0.16044323943873495,0.1428087760493776,0.15017606765812186,-0.010267171780613094,11,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min,horizon_minutes,haversine_km"
final9_plus_single_charger,0.9765138355939823,0.9821403470410882,0.9812916256968585,-0.0056265114471059086,-0.004777790102876156,0.0008487213442297525,0.8528036766065344,0.8405186744985038,0.8337172473365966,0.019086429269937866,0.16842916435124544,0.1531939304810744,0.16031623550651145,-0.008112928844733996,10,200,"available_count,total_chargers,known_charger_count,observation_coverage,hour,weekday,avail_rate_lag_15m,avail_rate_lag_60m,tmap_eta_min,single_charger"
