hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,55,14,87.49,12.01,0.5,12.51,40.09,40.08
1,55,14,89.17,10.49,0.34,10.83,40.82,40.85
2,56,14,90.2,9.34,0.46,9.8,41.39,41.39
3,56,14,91.57,8.25,0.18,8.43,41.99,41.98
4,55,14,92.06,7.7,0.25,7.94,42.25,42.25
5,56,14,91.49,8.24,0.27,8.51,41.86,41.85
6,55,14,88.88,10.55,0.58,11.12,40.61,40.46
7,56,15,82.01,16.49,1.49,17.99,38.31,38.49
8,60,15,67.21,28.81,3.98,32.79,34.03,33.47
9,59,15,65.38,30.22,4.4,34.62,33.43,32.87
10,59,15,62.49,32.87,4.64,37.51,32.7,32.33
11,60,15,60.79,33.89,5.32,39.21,32.44,32.15
12,60,15,61.54,33.36,5.09,38.46,32.66,32.52
13,60,15,61.03,34.32,4.65,38.97,32.46,32.41
14,58,15,59.03,35.72,5.26,40.97,31.88,31.75
15,59,15,58.14,36.04,5.81,41.86,31.57,31.32
16,60,16,55.63,36.92,7.46,44.37,30.9,30.5
17,64,16,52.27,37.96,9.76,47.73,30.08,29.6
18,59,15,50.04,35.26,14.7,49.96,29.18,28.14
19,60,15,63.76,29.96,6.28,36.24,33.08,33.85
20,64,15,72.83,24.96,2.2,27.17,35.24,35.28
21,61,15,76.61,21.47,1.93,23.39,36.22,36.18
22,60,15,79.92,18.87,1.2,20.08,37.24,37.2
23,56,14,85.24,13.81,0.96,14.76,39.09,38.88
