hour,mean_pct,median_pct,ticks,days
0,51.85241759570307,53.927092986587525,98,15
1,50.87005629944704,53.51832458853967,102,15
2,51.482634563568716,53.81970107793926,102,15
3,52.51556478306005,54.424538940866604,102,15
4,53.7909362160028,55.28685772361739,102,15
5,56.03604886752126,57.260691564769516,102,15
6,59.81438492742167,61.036579349972754,102,15
7,68.44318578760411,67.19329623509006,122,18
8,75.18512943751007,75.92062808345123,156,21
9,76.83853293499885,77.8683750728014,127,21
10,78.66370811650692,80.1185388885664,126,21
11,79.57503766011473,81.61678178562292,125,21
12,79.62568523221009,81.86727145094228,125,21
13,79.0053728589894,81.66576819407008,123,22
14,77.86582134715702,81.21188902706473,124,21
15,76.60910946748413,80.57213529063827,128,21
16,73.96762969318326,77.04449152542374,119,21
17,71.94688629948665,75.49097453813985,109,20
18,69.20587809035679,71.61538023496146,96,17
19,64.12539704765409,66.2645900407188,96,17
20,58.08373388887393,61.55764966740577,111,20
21,53.32725093765203,58.07622471338733,114,20
22,50.891372253205084,55.92273944504586,103,17
23,51.90132977860771,54.69098225470124,90,14
