hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,27,7,87.8,11.7,0.5,12.2,40.17,40.15
1,28,7,89.42,10.23,0.34,10.58,40.84,40.87
2,28,7,90.34,9.2,0.46,9.66,41.45,41.47
3,28,7,91.7,8.1,0.19,8.3,42.1,42.01
4,28,7,92.06,7.71,0.23,7.94,42.25,42.24
5,28,7,91.54,8.19,0.27,8.46,41.91,41.9
6,27,7,88.63,10.73,0.64,11.37,40.45,40.28
7,29,8,80.2,17.91,1.9,19.8,37.72,37.68
8,32,8,65.31,30.05,4.64,34.69,33.51,32.47
9,27,7,64.37,30.9,4.73,35.63,33.19,32.62
10,28,7,62.31,33.06,4.62,37.69,32.58,32.1
11,28,7,60.62,33.77,5.61,39.38,32.37,32.15
12,28,7,61.45,33.62,4.93,38.55,32.66,32.69
13,28,7,60.74,34.18,5.07,39.26,32.38,32.48
14,28,7,58.82,35.93,5.25,41.18,31.77,31.72
15,27,7,57.49,36.77,5.75,42.51,31.4,31.31
16,28,8,54.7,37.52,7.78,45.3,30.67,30.55
17,32,8,51.24,38.38,10.38,48.76,29.76,29.26
18,27,7,49.38,35.27,15.36,50.62,28.97,27.88
19,28,7,63.31,29.83,6.86,36.69,32.93,33.88
20,36,8,72.7,25.1,2.2,27.3,35.22,35.25
21,33,8,76.45,21.5,2.05,23.55,36.18,36.08
22,32,8,79.72,19.05,1.23,20.28,37.26,37.12
23,28,7,85.4,13.67,0.93,14.6,39.29,38.96
