statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source
ME183077,호텔아젤리아,35.6927724,128.505986,dongdaegu,동대구역 인근,35.8797,128.6284,23.536,47.1,65.8,66.0,34.865,200,,2026-08-07T16:21:44+09:00,tmap_routes_trafficInfo_Y
ME183144,대구환경공단 달성사업소,35.69241506,128.42241654,dongdaegu,동대구역 인근,35.8797,128.6284,27.909,55.8,56.2,56.0,40.708,200,,2026-08-07T16:21:44+09:00,tmap_routes_trafficInfo_Y
ME184067,대구시청,35.8706135,128.6016338,dongdaegu,동대구역 인근,35.8797,128.6284,2.615,5.2,15.3,15.0,3.992,200,,2026-08-07T16:21:45+09:00,tmap_routes_trafficInfo_Y
ME184068,두류공원관리소,35.844707,128.561796,dongdaegu,동대구역 인근,35.8797,128.6284,7.153,14.3,34.5,34.0,9.669,200,,2026-08-07T16:21:46+09:00,tmap_routes_trafficInfo_Y
ME184069,북구유통단지(EXCO),35.907199,128.613253,dongdaegu,동대구역 인근,35.8797,128.6284,3.348,6.7,18.1,18.0,5.681,200,,2026-08-07T16:21:46+09:00,tmap_routes_trafficInfo_Y
ME184070,시지근린공원 공영주차장,35.841515,128.706201,dongdaegu,동대구역 인근,35.8797,128.6284,8.197,16.4,25.3,25.0,10.685,200,,2026-08-07T16:21:47+09:00,tmap_routes_trafficInfo_Y
ME18C147,삼국유사 가온누리,36.158508,128.69693,dongdaegu,동대구역 인근,35.8797,128.6284,31.609,63.2,65.8,66.0,41.754,200,,2026-08-07T16:21:47+09:00,tmap_routes_trafficInfo_Y
ME18C170,북대구세무서,35.888337,128.583212,dongdaegu,동대구역 인근,35.8797,128.6284,4.183,8.4,18.1,18.0,5.719,200,,2026-08-07T16:21:48+09:00,tmap_routes_trafficInfo_Y
ME18C171,노원동행정복지센터,35.890297126,128.5760202,dongdaegu,동대구역 인근,35.8797,128.6284,4.864,9.7,23.6,24.0,6.787,200,,2026-08-07T16:21:49+09:00,tmap_routes_trafficInfo_Y
ME18C172,침산3동행정복지센터,35.892053,128.589389,dongdaegu,동대구역 인근,35.8797,128.6284,3.773,7.5,18.7,19.0,4.666,200,,2026-08-07T16:21:49+09:00,tmap_routes_trafficInfo_Y
ME18C173,침산공원,35.895815731,128.58413411,dongdaegu,동대구역 인근,35.8797,128.6284,4.372,8.7,19.8,20.0,6.628,200,,2026-08-07T16:21:50+09:00,tmap_routes_trafficInfo_Y
ME18C174,서구 문화회관,35.872177843,128.54599709,dongdaegu,동대구역 인근,35.8797,128.6284,7.471,14.9,32.1,32.0,9.185,200,,2026-08-07T16:21:50+09:00,tmap_routes_trafficInfo_Y
ME18C175,대명1동 행정복지센터,35.841448784,128.57357283,dongdaegu,동대구역 인근,35.8797,128.6284,6.519,13.0,32.1,32.0,9.278,200,,2026-08-07T16:21:51+09:00,tmap_routes_trafficInfo_Y
ME18C176,도원동마을공영주차장,35.805873,128.547724,dongdaegu,동대구역 인근,35.8797,128.6284,10.967,21.9,42.3,42.0,14.952,200,,2026-08-07T16:21:52+09:00,tmap_routes_trafficInfo_Y
ME18C177,낙동강 레포츠밸리,35.671921189,128.37141736,dongdaegu,동대구역 인근,35.8797,128.6284,32.73,65.5,57.1,57.0,48.242,200,,2026-08-07T16:21:53+09:00,tmap_routes_trafficInfo_Y
ME18C178,안심2동 공영주차장,35.875507,128.686917,dongdaegu,동대구역 인근,35.8797,128.6284,5.293,10.6,20.5,20.0,6.73,200,,2026-08-07T16:21:53+09:00,tmap_routes_trafficInfo_Y
ME18C229,군위(춘천) 휴게소,36.264836,128.576084,dongdaegu,동대구역 인근,35.8797,128.6284,43.083,86.2,52.9,53.0,50.465,200,,2026-08-07T16:21:54+09:00,tmap_routes_trafficInfo_Y
ME18C230,군위국민체육센터 주차장,36.237,128.573,dongdaegu,동대구역 인근,35.8797,128.6284,40.041,80.1,54.0,54.0,47.649,200,,2026-08-07T16:21:54+09:00,tmap_routes_trafficInfo_Y
ME18C251,삼국유사 군위(서울) 휴게소,36.07904,128.697565,dongdaegu,동대구역 인근,35.8797,128.6284,23.023,46.0,54.4,54.0,50.852,200,,2026-08-07T16:21:55+09:00,tmap_routes_trafficInfo_Y
ME18C254,대구 문화예술회관,35.84432655,128.56020707,dongdaegu,동대구역 인근,35.8797,128.6284,7.296,14.6,34.3,34.0,9.658,200,,2026-08-07T16:21:55+09:00,tmap_routes_trafficInfo_Y
ME18C255,달서별빛캠프 캠핑장,35.824056,128.55675,dongdaegu,동대구역 인근,35.8797,128.6284,8.943,17.9,29.8,30.0,12.758,200,,2026-08-07T16:21:56+09:00,tmap_routes_trafficInfo_Y
ME18C257,논공(대구) 휴게소,35.764417,128.402159,dongdaegu,동대구역 인근,35.8797,128.6284,24.092,48.2,57.2,57.0,41.185,200,,2026-08-07T16:21:56+09:00,tmap_routes_trafficInfo_Y
ME18C258,해안동 공영주차장,35.895994,128.584206,dongdaegu,동대구역 인근,35.8797,128.6284,4.374,8.7,19.5,20.0,6.608,200,,2026-08-07T16:21:57+09:00,tmap_routes_trafficInfo_Y
ME18C259,율암동 공영주차장,35.880036,128.701384,dongdaegu,동대구역 인근,35.8797,128.6284,6.576,13.2,23.8,24.0,8.489,200,,2026-08-07T16:21:57+09:00,tmap_routes_trafficInfo_Y
ME18C260,연암공원,35.899973,128.604496,dongdaegu,동대구역 인근,35.8797,128.6284,3.117,6.2,14.7,15.0,4.222,200,,2026-08-07T16:21:58+09:00,tmap_routes_trafficInfo_Y
ME18C261,중앙119 구조본부,35.665818708,128.39136796,dongdaegu,동대구역 인근,35.8797,128.6284,31.983,64.0,53.0,53.0,46.184,200,,2026-08-07T16:21:58+09:00,tmap_routes_trafficInfo_Y
ME18C262,비슬산 숲속 캠핑장,35.691775371,128.50952414,dongdaegu,동대구역 인근,35.8797,128.6284,23.487,47.0,62.9,63.0,36.491,200,,2026-08-07T16:21:59+09:00,tmap_routes_trafficInfo_Y
ME18C263,달성문화원,35.698719064,128.45146032,dongdaegu,동대구역 인근,35.8797,128.6284,25.684,51.4,54.1,54.0,39.523,200,,2026-08-07T16:21:59+09:00,tmap_routes_trafficInfo_Y
ME18C264,북구구민 운동장,35.94571,128.573823,dongdaegu,동대구역 인근,35.8797,128.6284,8.834,17.7,27.7,28.0,13.315,200,,2026-08-07T16:22:00+09:00,tmap_routes_trafficInfo_Y
ME18C265,서재문화체육센터,35.884605,128.504816,dongdaegu,동대구역 인근,35.8797,128.6284,11.147,22.3,30.0,30.0,14.762,200,,2026-08-07T16:22:00+09:00,tmap_routes_trafficInfo_Y
ME18C405,대구광역시청 별관,35.891,128.601,dongdaegu,동대구역 인근,35.8797,128.6284,2.77,5.5,14.4,14.0,3.906,200,,2026-08-07T16:22:01+09:00,tmap_routes_trafficInfo_Y
ME19C130,소보면사무소 주차장,36.255139,128.475417,dongdaegu,동대구역 인근,35.8797,128.6284,43.953,87.9,66.8,67.0,54.905,200,,2026-08-07T16:22:01+09:00,tmap_routes_trafficInfo_Y
ME19C143,달성군 보건소,35.691944,128.446389,dongdaegu,동대구역 인근,35.8797,128.6284,26.56,53.1,54.7,55.0,40.358,200,,2026-08-07T16:22:02+09:00,tmap_routes_trafficInfo_Y
ME19C227,현풍백년도깨비시장 공영주차장,35.6949127,128.4407276,dongdaegu,동대구역 인근,35.8797,128.6284,26.623,53.2,53.1,53.0,39.296,200,,2026-08-07T16:22:03+09:00,tmap_routes_trafficInfo_Y
ME19C289,군위군 종합운동장,36.2465,128.55675,dongdaegu,동대구역 인근,35.8797,128.6284,41.292,82.6,54.2,54.0,48.827,200,,2026-08-07T16:22:03+09:00,tmap_routes_trafficInfo_Y
ME19C403,칠곡3지구 공영주차장,35.942111,128.566139,dongdaegu,동대구역 인근,35.8797,128.6284,8.922,17.8,26.0,26.0,11.932,200,,2026-08-07T16:22:04+09:00,tmap_routes_trafficInfo_Y
ME19C404,무학산공원,35.834083,128.62975,dongdaegu,동대구역 인근,35.8797,128.6284,5.074,10.1,25.1,25.0,6.951,200,,2026-08-07T16:22:04+09:00,tmap_routes_trafficInfo_Y
ME19D114,장군졸음쉼터,36.1361114,128.580242,dongdaegu,동대구역 인근,35.8797,128.6284,28.839,57.7,48.6,49.0,38.96,200,,2026-08-07T16:22:04+09:00,tmap_routes_trafficInfo_Y
ME19D216,관사정문 주차장,35.90203809,128.67347406,dongdaegu,동대구역 인근,35.8797,128.6284,4.76,9.5,22.9,23.0,8.288,200,,2026-08-07T16:22:05+09:00,tmap_routes_trafficInfo_Y
ME19E138,우보면사무소 주차장,36.194544,128.661596,dongdaegu,동대구역 인근,35.8797,128.6284,35.136,70.3,59.6,60.0,54.313,200,,2026-08-07T16:22:05+09:00,tmap_routes_trafficInfo_Y
ME19E139,장곡휴양림 주차장,36.1298268,128.8352604,dongdaegu,동대구역 인근,35.8797,128.6284,33.463,66.9,66.8,67.0,57.085,200,,2026-08-07T16:22:06+09:00,tmap_routes_trafficInfo_Y
ME19E161,범어2동 행정복지센터,35.862038,128.631209,dongdaegu,동대구역 인근,35.8797,128.6284,1.98,4.0,18.7,19.0,5.056,200,,2026-08-07T16:22:06+09:00,tmap_routes_trafficInfo_Y
ME19E215,월광수변공원,35.805949368,128.54760518,dongdaegu,동대구역 인근,35.8797,128.6284,10.968,21.9,41.2,41.0,15.447,200,,2026-08-07T16:22:07+09:00,tmap_routes_trafficInfo_Y
ME19E216,달성군청,35.77556,128.432063,dongdaegu,동대구역 인근,35.8797,128.6284,21.152,42.3,45.4,45.0,29.324,200,,2026-08-07T16:22:08+09:00,tmap_routes_trafficInfo_Y
ME19E217,수성생활체육공원,35.8186,128.6354,dongdaegu,동대구역 인근,35.8797,128.6284,6.823,13.6,26.8,27.0,9.803,200,,2026-08-07T16:22:08+09:00,tmap_routes_trafficInfo_Y
ME19F260,아미산 주차장,36.1687232,128.8379913,dongdaegu,동대구역 인근,35.8797,128.6284,37.257,74.5,65.9,66.0,58.631,200,,2026-08-07T16:22:08+09:00,tmap_routes_trafficInfo_Y
ME19F410,위천수변 테마공원,36.1765379,128.5843985,dongdaegu,동대구역 인근,35.8797,128.6284,33.243,66.5,51.9,52.0,46.979,200,,2026-08-07T16:22:09+09:00,tmap_routes_trafficInfo_Y
ME19F412,물산업클러스터,35.645238359,128.41948475,dongdaegu,동대구역 인근,35.8797,128.6284,32.172,64.3,54.5,54.0,46.386,200,,2026-08-07T16:22:09+09:00,tmap_routes_trafficInfo_Y
ME19W401,국가물산업클러스터 주차장,35.647423,128.419848,dongdaegu,동대구역 인근,35.8797,128.6284,31.956,63.9,53.5,54.0,46.258,200,,2026-08-07T16:22:10+09:00,tmap_routes_trafficInfo_Y
ME19X404,대구스타디움 주차장,35.831746657,128.69299415,dongdaegu,동대구역 인근,35.8797,128.6284,7.894,15.8,23.7,24.0,10.698,200,,2026-08-07T16:22:10+09:00,tmap_routes_trafficInfo_Y
ME19X405,대구 동촌유원지 서편주차장,35.87946,128.649155,dongdaegu,동대구역 인근,35.8797,128.6284,1.87,3.7,15.6,16.0,3.462,200,,2026-08-07T16:22:11+09:00,tmap_routes_trafficInfo_Y
ME19X413,도림사 주차장,35.9495931,128.729803,dongdaegu,동대구역 인근,35.8797,128.6284,11.991,24.0,34.4,34.0,17.927,200,,2026-08-07T16:22:12+09:00,tmap_routes_trafficInfo_Y
ME19X430,대구봉무공원 주차장,35.920415,128.647217,dongdaegu,동대구역 인근,35.8797,128.6284,4.834,9.7,17.6,18.0,6.727,200,,2026-08-07T16:22:12+09:00,tmap_routes_trafficInfo_Y
ME19Y406,롯데렌탈 대구지점,35.881162,128.629337,dongdaegu,동대구역 인근,35.8797,128.6284,0.183,0.4,2.6,3.0,0.433,200,,2026-08-07T16:22:12+09:00,tmap_routes_trafficInfo_Y
ME19Z223,이마트 성서점,35.853237,128.510256,dongdaegu,동대구역 인근,35.8797,128.6284,11.045,22.1,31.6,32.0,16.928,200,,2026-08-07T16:22:13+09:00,tmap_routes_trafficInfo_Y
ME20C182,두류1·2동1공영주차장,35.855857,128.569531,dongdaegu,동대구역 인근,35.8797,128.6284,5.93,11.9,28.9,29.0,8.692,200,,2026-08-07T16:22:13+09:00,tmap_routes_trafficInfo_Y
ME20C183,서남시장공영주차장,35.854062,128.544736,dongdaegu,동대구역 인근,35.8797,128.6284,8.06,16.1,35.0,35.0,10.038,200,,2026-08-07T16:22:14+09:00,tmap_routes_trafficInfo_Y
ME20C184,송현주공시장 공영주차장,35.8223214,128.5489175,dongdaegu,동대구역 인근,35.8797,128.6284,9.593,19.2,30.6,31.0,13.446,200,,2026-08-07T16:22:14+09:00,tmap_routes_trafficInfo_Y
