feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
horizon_minutes,836651,0.0,4,0.9248408237126352,0.04107548239600675,3.50738702494131e-309,0.03919608307054728,0.5415192098211987,0.5526416479295192,0.5367885344488038,0.5716582030192312,0.004329223819458328,5.26108053741197e-309
available_count,836651,0.0,20,0.9248408237126352,0.2402864811247465,0.0,0.32694300935999576,0.8219060634410397,0.819165047140909,0.791027229194547,0.8559466342507285,0.07350649279812771,0.0
usable_count,836651,0.0,19,0.9248408237126352,0.14668772868390906,0.0,0.1839840843816472,0.673849657534434,0.6770618071677729,0.6616268400378766,0.6919276437286846,0.02485148572822582,0.0
known_charger_count,836651,0.0,19,0.9248408237126352,0.10935752165276805,0.0,0.12625798830083468,0.6188190819638901,0.6180730155643932,0.6026360486324711,0.6311475141608746,0.013580312571707998,0.0
direct_observed_count,836651,0.0,20,0.9248408237126352,0.11681596576704617,0.0,0.13030491706728792,0.6316693466680796,0.6358338394815852,0.6108815871385713,0.6637749979016608,0.01304377686350211,0.0
total_chargers,836651,0.0,33,0.9248408237126352,0.11656051671880496,0.0,0.21306677878831626,0.7203356806865903,0.709776673418283,0.6974173713801739,0.7189291830557007,0.030767029591091122,0.0
observation_coverage,836651,0.0,127,0.9248408237126352,-0.14450720820743224,0.0,-0.1480238295472522,0.6252889338138534,0.6129282898670161,0.6021528710263934,0.6223604999833932,0.022336153419912685,0.0
direct_observation_coverage,836651,0.0,99,0.9248408237126352,0.02583979314292478,1.5238266663160633e-123,0.030120050588756116,0.5286625114791278,0.5347106214430264,0.5026473916864747,0.572651708124406,0.015060459219153222,1.828591999579276e-123
observation_age_minutes,836651,0.0,556,0.9248408237126352,-0.07416643549819352,0.0,-0.08425279083471247,0.567191455061616,0.5719204706569283,0.5443496381009773,0.6034751276347373,0.003452810340507151,0.0
available_count_delta_1tick,764555,0.08617213151003222,21,0.9340923805350825,0.09919561637870318,0.0,0.10522567688836104,0.5678872947527736,0.5681162891533733,0.5462314955803427,0.5885509187523527,0.007149139264555293,0.0
minutes_since_last_change,836651,0.0,18623,0.9248408237126352,0.11015614361584497,0.0,0.19578703838651365,0.7135877820500924,0.7218852855493708,0.6945230906601765,0.7430994003992667,0.030103735260660125,0.0
hour,836651,0.0,24,0.9248408237126352,-0.03979218833058228,2.7760263742755933e-290,-0.044261308484675535,0.5484121761238213,0.5255700745531848,0.50093909597983,0.573959695977882,0.003755484381076979,3.843728825920052e-290
weekday,836651,0.0,7,0.9248408237126352,0.005308939781395893,1.1975569359076658e-06,0.0047986871532524,0.5051823246007248,0.5005945941285613,0.5008534450513841,0.5160414275838519,0.0001912325011395044,1.347251552896124e-06
is_weekend,836651,0.0,2,0.9248408237126352,0.0005919507166889317,0.5881985266507338,0.0005919507166867211,0.5005103092918534,0.5090675604605608,0.5012537195092104,0.5164184341687338,0.002586021620997636,0.5881985266507338
sessions_per_charger,61857,0.9260659462547705,192,0.7313966083062547,-0.10156999059299424,1.6295053125101975e-141,-0.13388857901257276,0.5871862173294217,0.5839472984300609,0.5661559521804842,0.5946502132944054,0.12697697523648066,2.0950782589416825e-141
usage_daytype_avg,61857,0.9260659462547705,361,0.7313966083062547,0.016943054761058347,2.5073628777299106e-05,-0.021325820343366445,0.5138885019489865,0.5031706433901331,0.5003451415874175,0.516842980732556,0.1303525623196018,2.654854811714023e-05
history_observed,836651,0.0,2,0.9248408237126352,-0.20731586969084806,0.0,-0.20731586969084545,0.6028777049145728,0.5940352100805111,0.5824498880163683,0.6051477829267428,0.014735293519093862,0.0
unobserved_rate,836651,0.0,127,0.9248408237126352,0.14450720820743224,0.0,0.1480238295472522,0.6252889338138534,0.6129282898670161,0.6021528710263934,0.6223604999833932,0.016813970227491204,0.0
