horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
5,horizon_minutes,228393,0.0,1,0.9149492322444208,,,,,,,,,
5,available_count,228393,0.0,20,0.9149492322444208,0.31917339093274055,0.0,0.45132688328253356,0.9116859763666931,0.9202904952672841,0.9004949288542606,0.9396838869216042,0.14648632806783057,0.0
5,usable_count,228393,0.0,19,0.9149492322444208,0.16886323616245097,0.0,0.21755448627586363,0.6921541592372533,0.6818298032059745,0.6677606081451887,0.6993804183584602,0.03812957940035511,0.0
5,known_charger_count,228393,0.0,19,0.9149492322444208,0.11432994210456102,0.0,0.13260298852239982,0.6167556651632682,0.6147532337637165,0.6078225304793606,0.6206879633315893,0.011571696136264853,0.0
5,direct_observed_count,228393,0.0,20,0.9149492322444208,0.12157343943875598,0.0,0.1342638408823172,0.6287950660467028,0.6335456871192383,0.614266827777383,0.6587395980034122,0.011118230756592906,0.0
5,total_chargers,228393,0.0,33,0.9149492322444208,0.1294455339972191,0.0,0.239872777918485,0.7351037035985928,0.7315320206592498,0.7145381508304993,0.7458388889010674,0.03707483610806528,0.0
5,observation_coverage,228393,0.0,127,0.9149492322444208,-0.1703659170080185,0.0,-0.17513524167281116,0.6444118446983957,0.6421786502523508,0.626869995829601,0.6577240575589489,0.028288949567964794,0.0
5,direct_observation_coverage,228393,0.0,99,0.9149492322444208,0.03013924518846874,4.683711515187398e-47,0.037553524586166176,0.5344945598192985,0.5452619833179664,0.5147978077038314,0.58480544442319,0.01652364558372099,6.124853519860444e-47
5,observation_age_minutes,228393,0.0,470,0.9149492322444208,-0.07973981789064834,9.3409e-319,-0.09069370428251572,0.5719717520191276,0.5846194498077251,0.5585824410858172,0.618906118178929,0.0037476464583323654,1.443596e-318
5,available_count_delta_1tick,207717,0.09052816855157553,20,0.9260869355902502,0.13653868660733176,0.0,0.14192729502173815,0.5878726669881016,0.5814343190714669,0.5533937544992626,0.6021608383894098,0.011712437118461594,0.0
5,minutes_since_last_change,228393,0.0,18519,0.9149492322444208,0.12160383024942946,0.0,0.21087247750725568,0.7173128021867542,0.7088877769674852,0.6822735972786128,0.7340143799219561,0.03582272464313685,0.0
5,hour,228393,0.0,24,0.9149492322444208,-0.04461394223634198,5.764699652936446e-101,-0.04925258231092966,0.5509130887602232,0.5173482495001709,0.501685729124813,0.560919599257344,0.004455928013922916,8.166657841659966e-101
5,weekday,228393,0.0,7,0.9149492322444208,0.006104881164258355,0.0035277810192496993,0.005896147467586549,0.5060173844700662,0.5058897923473393,0.5008061097537589,0.5205094289150755,0.001694265350875579,0.0037482673329528055
5,is_weekend,228393,0.0,2,0.9149492322444208,0.0017568137449377116,0.4011406760392097,0.0017568137449379439,0.5014311356016306,0.50026771783397,0.5003918089978152,0.5160118603504358,0.00290794936958938,0.4011406760392097
5,sessions_per_charger,19481,0.9147040408418822,192,0.6959088342487552,-0.10002582646416876,1.6663508003728175e-44,-0.1303447911946742,0.5817862355940608,0.5819304841289481,0.5705044085007367,0.5916770673066033,0.12861780294517677,2.0234259718812783e-44
5,usage_daytype_avg,19481,0.9147040408418822,361,0.6959088342487552,0.024513536211584197,0.0006221822547139691,-0.013279186782549772,0.5083326995524486,0.5068380703519211,0.5006410591749415,0.5247803891182973,0.13011071174832933,0.0007051398886758316
5,history_observed,228393,0.0,2,0.9149492322444208,-0.23977866175025628,0.0,-0.2397786617502514,0.6200459315490324,0.626060564199272,0.6075446473825756,0.6443490880731076,0.018995846648207415,0.0
5,unobserved_rate,228393,0.0,127,0.9149492322444208,0.17036591700801848,0.0,0.17513524167281116,0.6444118446983959,0.6421786502523509,0.6268699958296011,0.6577240575589488,0.023808663432264954,0.0
10,horizon_minutes,223750,0.0,1,0.9169296089385475,,,,,,,,,
10,available_count,223750,0.0,20,0.9169296089385475,0.3022774781772986,0.0,0.42430563693526663,0.8931329052973939,0.9069818304855354,0.8991261399499605,0.9155170033233034,0.12718494323081808,0.0
10,usable_count,223750,0.0,19,0.9169296089385475,0.16397897229875727,0.0,0.21012725251174263,0.6881132873480872,0.6898084249703942,0.6728470614645559,0.7077323753949979,0.03563209465694395,0.0
10,known_charger_count,223750,0.0,19,0.9169296089385475,0.1141734648767336,0.0,0.13235012420383319,0.6180612942011984,0.6231059380815429,0.614089428498173,0.6317723442872114,0.01415022299137969,0.0
10,direct_observed_count,223750,0.0,20,0.9169296089385475,0.12050438446730988,0.0,0.13305978227987553,0.6287051032505222,0.6282407714430722,0.6094605420213405,0.6489486923314894,0.01410048013040055,0.0
10,total_chargers,223750,0.0,33,0.9169296089385475,0.12685194081436826,0.0,0.23430972061999264,0.731990920880929,0.7264197597699205,0.7166148694026753,0.7364646372862346,0.036261274793180975,0.0
10,observation_coverage,223750,0.0,127,0.9169296089385475,-0.16413357494904787,0.0,-0.16847795900210824,0.6396219504399401,0.628565048215192,0.6162958414568774,0.6423056250536098,0.026992366888987318,0.0
10,direct_observation_coverage,223750,0.0,99,0.9169296089385475,0.025682723176350356,5.706166897842606e-34,0.03230641603522372,0.5298683699378397,0.534549822365082,0.5107307380472697,0.5625309264958811,0.017522881130555223,6.928916947380307e-34
10,observation_age_minutes,223750,0.0,436,0.9169296089385475,-0.07781383030197184,1.7864308480030934e-297,-0.08814159862173843,0.5694635558512952,0.5684079174420572,0.5485040469412339,0.5923968997678895,0.0038616785412994847,2.7608476741865987e-297
10,available_count_delta_1tick,203202,0.09183463687150839,20,0.9281699983267881,0.1361067100600081,0.0,0.14145978236042547,0.5893278205067555,0.58012775997151,0.5587177638345918,0.6001678610413834,0.012695080595940711,0.0
10,minutes_since_last_change,223750,0.0,18485,0.9169296089385475,0.12000803226292549,0.0,0.2094532591062312,0.7181320543887421,0.7270237861613941,0.6976163462362698,0.7502255559530137,0.033079464975325434,0.0
10,hour,223750,0.0,24,0.9169296089385475,-0.04656794221887164,1.2045092356164175e-107,-0.051105528938522514,0.5533980692994204,0.5291509389274234,0.5013091801711023,0.5720499656067878,0.004023717441847596,1.7063880837899247e-107
10,weekday,223750,0.0,7,0.9169296089385475,0.007006151491747109,0.0009194278460940556,0.0059178603337642546,0.5061057534350201,0.5097445440703773,0.5006561807136335,0.5220778631207851,0.0007205215977261759,0.001042018225573263
10,is_weekend,223750,0.0,2,0.9169296089385475,-0.00035733466583435375,0.8657759622981721,-0.00035733466583390104,0.5002949748041683,0.5035188631365252,0.5000654006667206,0.5190328949430763,0.0021274017893628816,0.8657759622981721
10,sessions_per_charger,18622,0.916773184357542,192,0.7037375147674794,-0.09968673656712035,2.4274365669555294e-42,-0.12997125327225167,0.5821608033771928,0.5911834598894655,0.573751307959403,0.6088046528504552,0.12702980527154994,3.1743401260187694e-42
10,usage_daytype_avg,18622,0.916773184357542,361,0.7037375147674794,0.022506227580274887,0.002130305622503018,-0.015658884778166886,0.5098993869802865,0.5161720725913741,0.5012372811549698,0.5306843931074592,0.12476556362785285,0.002263449723909457
