hour,mean_pct,median_pct,ticks,days
0,48.855542237237586,52.11041852181656,65,9
1,47.22090284595375,50.44760832388503,66,9
2,48.09208471056977,50.87384467763725,66,9
3,49.454536847416485,51.74874488797795,66,9
4,51.00192619711353,53.017088042052414,66,9
5,53.72087231817821,55.9684771370498,66,9
6,58.18156487452554,59.25290375927545,66,9
7,68.95506609666003,67.46473754854327,86,12
8,75.9549131864022,77.61891510732603,118,15
9,77.04084595075834,77.8683750728014,85,14
10,78.40370926377516,79.81547747859152,84,14
11,79.01691285400234,81.39796364544944,83,14
12,78.79424240141616,81.78430631311767,83,14
13,78.02538463753761,81.60905247450883,85,15
14,76.610984062834,80.99688456826408,88,15
15,75.1935049121922,79.6945922362494,92,15
16,71.76539523742565,70.79796264855688,83,15
17,69.46150410027136,69.30598940649192,73,14
18,66.73162660056254,69.33050950305741,60,11
19,61.4000974861038,62.7271308812891,60,11
20,54.72187812346874,54.953271028037385,75,14
21,49.21550708914362,51.41378142521435,78,14
22,46.1527704540963,51.50850611376927,67,11
23,47.65055805265884,52.86452238807592,54,8
