충전소ID,피처_기준시각,도착예상_시각,매칭된_패널시각,예측_시차_분,TMAP_이동시간_분,직선거리_km,출발지ID,출발시_사용가능_대수,도착시_사용가능_대수,도착시_가용여부_타겟,라벨명,라벨정의,ETA출처,전체_충전기수,ETA_대리여부,단일치커여부,ETA구간,출발시_가용률
EV003782,2026-07-23 10:26:09,2026-07-23 10:28:09,2026-07-23 10:31:10,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:31:10,2026-07-23 10:33:10,2026-07-23 10:36:17,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:36:17,2026-07-23 10:38:17,2026-07-23 10:41:27,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:41:27,2026-07-23 10:43:27,2026-07-23 10:46:30,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:46:30,2026-07-23 10:48:30,2026-07-23 10:51:33,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:51:33,2026-07-23 10:53:33,2026-07-23 10:56:34,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 10:56:34,2026-07-23 10:58:34,2026-07-23 11:01:35,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:01:35,2026-07-23 11:03:35,2026-07-23 11:06:41,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:06:41,2026-07-23 11:08:41,2026-07-23 11:11:42,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:11:42,2026-07-23 11:13:42,2026-07-23 11:16:43,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:16:43,2026-07-23 11:18:43,2026-07-23 11:21:55,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:21:55,2026-07-23 11:23:55,2026-07-23 11:26:56,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:26:56,2026-07-23 11:28:56,2026-07-23 11:31:57,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:31:57,2026-07-23 11:33:57,2026-07-23 11:36:58,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:36:58,2026-07-23 11:38:58,2026-07-23 11:41:59,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:41:59,2026-07-23 11:43:59,2026-07-23 11:47:12,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:47:12,2026-07-23 11:49:12,2026-07-23 11:52:13,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:52:13,2026-07-23 11:54:13,2026-07-23 11:57:14,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
EV003782,2026-07-23 11:57:14,2026-07-23 11:59:14,2026-07-23 12:02:15,2,1.9,0.693,동대구역(학습고정),1,1,가능,target_available_at_arrival,available_count>0 at panel tick nearest as_of+tmap_eta,tmap_routes,2,False,0,0_10,0.5
