hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,72.72756687258567,24,24.880877178985184,24,24.461590151643843,24
1,70.18657787119639,24,26.56693510992479,24,27.157520728625883,24
2,71.4994436030968,24,30.1903939017845,24,30.69725129320035,24
3,73.29417312066452,24,33.3619352979694,24,34.631738492835126,24
4,74.95829016044956,24,36.43173383865435,24,37.72836367018773,24
5,75.97206372366914,24,42.248937867805495,24,43.605288584544205,24
6,76.65692528008742,24,51.44958770796751,24,52.67439219716989,24
7,80.5231838979411,30,66.15068760251746,30,66.49834903947946,30
8,79.59341619553037,39,77.63420947745996,39,77.5033679915099,39
9,74.37501348941004,43,79.77631713384497,43,79.8312218687589,43
10,73.22980957016478,42,80.42116842292327,42,80.36445939307414,42
11,73.64929673069598,42,80.15656486142431,42,79.6806919436702,42
12,73.22710227112002,41,79.05697392969141,41,78.70351305209675,41
13,73.62899391833237,43,76.48703557651855,43,76.58164119123695,43
14,72.82039948452373,46,74.09295041130012,46,74.42052747218497,46
15,72.41588303243819,46,72.03090874632862,46,72.72700502561764,46
16,69.70455869599071,41,63.95211597137199,41,64.44630892905064,41
17,68.8086454258284,31,60.40474273373394,31,60.95224263470731,31
18,67.76343017083039,18,55.93306921910715,18,57.3784666236095,18
19,65.3428424044988,18,50.38075663090479,18,52.17118947836407,18
20,67.09880865105967,34,36.35194383004252,34,37.993886034468126,34
21,63.72729440752932,36,30.811423235454317,36,31.494438115273347,36
22,61.419662028186174,26,23.63540199266412,26,23.929666123206673,26
23,60.42663604614509,12,20.68564682967004,12,20.94068054354502,12
