date,HIGH,NORMAL
2026-07-17,9936,7426
2026-07-18,18079,13168
2026-07-19,14214,10971
2026-07-20,16091,13243
2026-07-21,19399,13943
2026-07-22,25325,19589
2026-07-23,50272,34339
2026-07-24,48716,36820
2026-07-25,39734,28253
