statId,dow,hour,session_count,total_kwh,avg_kwh,total_duration_min,avg_duration_min,demand_score
ME178137,0,0,7,107.88,15.411428571428571,659.0,94.14285714285714,15.38
ME178137,0,1,7,134.42,19.20285714285714,219.31666666666666,31.33095238095238,5.12
ME178137,0,2,10,206.16,20.616,315.2,31.52,7.35
ME178137,0,3,7,112.27000000000001,16.03857142857143,171.31666666666666,24.473809523809525,4.0
ME178137,0,4,3,62.72,20.906666666666666,122.33333333333334,40.77777777777778,2.85
ME178137,0,5,8,174.44,21.805,280.93333333333334,35.11666666666667,6.56
ME178137,0,6,6,90.27,15.045,149.26666666666665,24.877777777777776,3.48
ME178137,0,7,12,172.64000000000001,14.386666666666668,370.7833333333333,30.89861111111111,8.65
ME178137,0,8,17,261.1,15.358823529411765,708.4333333333333,41.67254901960784,16.53
ME178137,0,9,17,290.39,17.081764705882353,619.7166666666667,36.45392156862745,14.46
ME178137,0,10,24,414.14,17.25583333333333,725.3833333333333,30.224305555555556,16.93
ME178137,0,11,31,592.91,19.126129032258063,1196.3333333333333,38.59139784946236,27.92
ME178137,0,12,31,436.29,14.073870967741936,816.2666666666667,26.331182795698926,19.05
ME178137,0,13,28,438.97999999999996,15.67785714285714,716.2833333333333,25.58154761904762,16.71
ME178137,0,14,15,204.59,13.639333333333333,337.03333333333336,22.46888888888889,7.86
ME178137,0,15,17,330.54,19.443529411764708,606.5166666666667,35.67745098039216,14.15
ME178137,0,16,20,271.84,13.591999999999999,461.8666666666667,23.093333333333334,10.78
ME178137,0,17,25,347.15,13.886,574.1333333333333,22.965333333333334,13.4
ME178137,0,18,22,384.49,17.47681818181818,630.0166666666667,28.63712121212121,14.7
ME178137,0,19,14,219.48,15.677142857142856,696.5500000000001,49.75357142857143,16.25
ME178137,0,20,11,172.41,15.673636363636364,379.76666666666665,34.52424242424242,8.86
ME178137,0,21,17,306.15999999999997,18.00941176470588,542.4833333333333,31.91078431372549,12.66
ME178137,0,22,18,306.31,17.017222222222223,512.7666666666667,28.487037037037037,11.96
ME178137,0,23,12,176.92000000000002,14.743333333333334,282.1333333333333,23.51111111111111,6.58
ME178137,1,0,8,139.17,17.39625,227.63333333333333,28.454166666666666,5.31
ME178137,1,1,5,64.98,12.996,132.15,26.43,3.08
ME178137,1,2,2,46.74,23.37,86.16666666666667,43.083333333333336,2.01
ME178137,1,3,6,87.65,14.608333333333334,173.11666666666667,28.852777777777778,4.04
ME178137,1,4,10,148.26,14.825999999999999,242.14999999999998,24.214999999999996,5.65
ME178137,1,5,8,110.86,13.8575,215.58333333333334,26.947916666666668,5.03
ME178137,1,6,6,102.77000000000001,17.128333333333334,258.95,43.15833333333333,6.04
ME178137,1,7,11,161.6,14.69090909090909,336.2833333333333,30.571212121212117,7.85
ME178137,1,8,13,331.0,25.46153846153846,513.25,39.48076923076923,11.98
ME178137,1,9,22,398.56,18.116363636363637,616.15,28.00681818181818,14.38
ME178137,1,10,12,225.03,18.7525,366.23333333333335,30.519444444444446,8.55
ME178137,1,11,23,407.29,17.70826086956522,647.0,28.130434782608695,15.1
ME178137,1,12,22,311.47,14.157727272727273,481.75,21.897727272727273,11.24
ME178137,1,13,30,531.41,17.713666666666665,848.0333333333333,28.267777777777777,19.79
ME178137,1,14,23,286.36,12.450434782608696,524.8,22.817391304347826,12.25
ME178137,1,15,20,394.34,19.717,634.3166666666666,31.71583333333333,14.8
ME178137,1,16,24,308.39,12.849583333333333,524.9166666666666,21.871527777777775,12.25
ME178137,1,17,19,295.55,15.555263157894737,462.95,24.36578947368421,10.8
ME178137,1,18,19,286.17,15.061578947368423,459.8333333333333,24.20175438596491,10.73
ME178137,1,19,19,288.25,15.171052631578947,445.4166666666667,23.442982456140353,10.39
ME178137,1,20,16,322.32,20.145,558.6666666666666,34.916666666666664,13.04
ME178137,1,21,16,250.09,15.630625,434.05,27.128125,10.13
ME178137,1,22,10,123.38,12.338,227.9,22.79,5.32
ME178137,1,23,10,193.35,19.335,316.70000000000005,31.670000000000005,7.39
ME178137,2,0,5,77.63000000000001,15.526000000000002,170.8,34.160000000000004,3.99
ME178137,2,1,7,134.55,19.22142857142857,208.53333333333333,29.79047619047619,4.87
ME178137,2,2,10,144.07999999999998,14.407999999999998,277.01666666666665,27.701666666666664,6.46
ME178137,2,3,5,76.05,15.209999999999999,152.8,30.560000000000002,3.57
ME178137,2,4,5,66.39,13.278,822.5166666666668,164.50333333333336,19.19
ME178137,2,5,4,58.81999999999999,14.704999999999998,141.1,35.275,3.29
ME178137,2,6,7,70.8,10.114285714285714,434.51666666666665,62.07380952380952,10.14
ME178137,2,7,15,270.88,18.058666666666667,494.83333333333337,32.988888888888894,11.55
ME178137,2,8,16,205.14000000000001,12.821250000000001,774.6500000000001,48.415625000000006,18.08
ME178137,2,9,25,399.84,15.993599999999999,685.5166666666667,27.420666666666666,16.0
ME178137,2,10,22,356.82,16.21909090909091,601.6666666666666,27.348484848484848,14.04
ME178137,2,11,28,481.87,17.209642857142857,986.65,35.2375,23.02
ME178137,2,12,32,517.15,16.1609375,861.4,26.91875,20.1
ME178137,2,13,19,343.89,18.099473684210526,583.2,30.694736842105264,13.61
ME178137,2,14,24,388.04,16.168333333333333,731.2333333333333,30.468055555555555,17.06
ME178137,2,15,25,385.77,15.4308,798.7166666666667,31.948666666666668,18.64
ME178137,2,16,29,439.51,15.155517241379311,881.2666666666667,30.388505747126437,20.56
ME178137,2,17,21,211.12,10.053333333333333,426.48333333333335,20.30873015873016,9.95
ME178137,2,18,22,396.14,18.006363636363634,1375.7166666666667,62.532575757575756,32.1
ME178137,2,19,19,369.76,19.461052631578948,672.7833333333333,35.40964912280702,15.7
ME178137,2,20,10,139.12,13.912,226.45,22.645,5.28
ME178137,2,21,20,325.65,16.2825,537.6833333333333,26.884166666666665,12.55
ME178137,2,22,11,155.8,14.163636363636364,295.3333333333333,26.848484848484848,6.89
ME178137,2,23,7,141.23,20.175714285714285,231.3,33.042857142857144,5.4
ME178137,3,0,10,175.13,17.512999999999998,279.3666666666667,27.936666666666667,6.52
ME178137,3,1,8,170.53,21.31625,262.28333333333336,32.78541666666667,6.12
ME178137,3,2,7,136.01999999999998,19.43142857142857,226.56666666666666,32.36666666666667,5.29
ME178137,3,3,9,127.81,14.20111111111111,297.7166666666667,33.079629629629636,6.95
ME178137,3,4,9,187.4,20.822222222222223,326.1666666666667,36.24074074074074,7.61
ME178137,3,5,6,79.03999999999999,13.173333333333332,147.13333333333333,24.522222222222222,3.43
ME178137,3,6,12,198.29,16.524166666666666,364.6,30.383333333333336,8.51
ME178137,3,7,11,223.78,20.343636363636364,344.4166666666667,31.310606060606062,8.04
ME178137,3,8,18,257.67,14.315000000000001,1036.7833333333333,57.599074074074075,24.19
ME178137,3,9,24,419.6,17.483333333333334,653.2,27.21666666666667,15.24
ME178137,3,10,19,353.05,18.58157894736842,578.8833333333333,30.467543859649123,13.51
ME178137,3,11,32,551.04,17.22,964.95,30.1546875,22.52
ME178137,3,12,33,587.57,17.80515151515152,935.0666666666666,28.335353535353534,21.82
ME178137,3,13,20,308.38,15.419,513.9333333333334,25.69666666666667,11.99
ME178137,3,14,28,391.02,13.965,642.7,22.95357142857143,15.0
ME178137,3,15,30,464.98,15.499333333333334,751.15,25.038333333333334,17.53
