feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
horizon_minutes,469721,0.0,4,0.9238271229091312,0.042485080980707024,1.465624567081655e-186,0.040347326223403916,0.5424703136668244,0.54533083299282,0.5337490415377004,0.5553623967599937,0.0014630710777587819,2.029326323651522e-186
available_count,469721,0.0,12,0.9238271229091312,0.24994819532282564,0.0,0.3391473294947671,0.8319426933258587,0.823693158601366,0.796459888123806,0.8539775447200609,0.07690713068053445,0.0
usable_count,469721,0.0,14,0.9238271229091312,0.15129703432955988,0.0,0.1899767371245655,0.6784649674673197,0.6647730174829256,0.6330007322953956,0.6841416009078033,0.024920985989670852,0.0
known_charger_count,469721,0.0,13,0.9238271229091312,0.11295749744077337,0.0,0.1302721977032572,0.6220055159206557,0.5975716537271613,0.5689128927397163,0.6268321191452371,0.01194070886490306,0.0
direct_observed_count,469721,0.0,14,0.9238271229091312,0.12105630534403973,0.0,0.13561338629494327,0.6365893924816606,0.6606024896386667,0.639937441385843,0.6798047236077142,0.012289608510042349,0.0
total_chargers,469721,0.0,32,0.9238271229091312,0.12071928549526446,0.0,0.21883079208386222,0.725175993721634,0.6919012864106007,0.6583357052313488,0.7229813458338926,0.029733477706229472,0.0
observation_coverage,469721,0.0,122,0.9238271229091312,-0.14656919788658326,0.0,-0.1494577770948093,0.6255209342682148,0.6101949681863288,0.5937694515633317,0.6214004860326148,0.02146457272714386,0.0
direct_observation_coverage,469721,0.0,91,0.9238271229091312,0.033368838194325255,8.048275098478736e-116,0.039168928065746116,0.5371549692039608,0.5864154347381939,0.564389996679097,0.6222793978121313,0.015859220579610867,1.0347782269472662e-115
observation_age_minutes,469721,0.0,546,0.9238271229091312,-0.07859435807205246,0.0,-0.09061444450741582,0.5731116339239957,0.6079434760084058,0.5861884594278961,0.6454049773120203,0.0037077448909526023,0.0
available_count_delta_1tick,434985,0.073950281124327,18,0.9320459326183661,0.08463898144818391,0.0,0.09210841654465644,0.5544316682925438,0.5508860316184436,0.5354192134701881,0.5657479944650824,0.005767439570419475,0.0
minutes_since_last_change,469721,0.0,6986,0.9238271229091312,0.1465590926443494,0.0,0.1926082867013011,0.7091155532282005,0.7234828308329928,0.7016155217911186,0.7441934652551936,0.030499434384277047,0.0
hour,469721,0.0,24,0.9238271229091312,-0.048608856398225736,1.231111859936464e-243,-0.05696631357802435,0.5619043583251019,0.515469488792248,0.5024159067398385,0.5690074118001378,0.004600787433237441,1.846667789904696e-243
weekday,469721,0.0,4,0.9238271229091312,-0.008110163046597183,2.7214386551768007e-08,-0.007978856877713568,0.5082339322418132,0.5145934271204249,0.5015942477997174,0.519270377640022,0.0013400089726944842,3.061618487073901e-08
is_weekend,469721,0.0,2,0.9238271229091312,-0.007841649485277746,7.682255521673347e-08,-0.007841649485276984,0.5064981065248224,0.5127692487303719,0.5106599685076575,0.5196992109570593,0.0016957829349459885,8.134152905301191e-08
sessions_per_charger,34131,0.9273377174961307,187,0.7224224312208842,-0.10631255896663323,2.337417086857845e-86,-0.14195536822680124,0.5914951166739779,0.5791767158766921,0.5483927364213479,0.5955150990555408,0.14117138073017355,2.8049005042294142e-86
usage_daytype_avg,34131,0.9273377174961307,336,0.7224224312208842,0.02106312869702412,9.957993816525909e-05,-0.015741008981263332,0.5101466449430754,0.5044512970047287,0.5005933682373473,0.5223258982789775,0.1480266635145464,9.957993816525909e-05
history_observed,469721,0.0,2,0.9238271229091312,-0.21252479455685117,0.0,-0.21252479455685305,0.6039818536971193,0.6023911330336817,0.5890362348851452,0.6199581181897625,0.014167992625688575,0.0
unobserved_rate,469721,0.0,122,0.9238271229091312,0.14656919788658326,0.0,0.1494577770948093,0.6255209342682149,0.610194968186329,0.5937694515633317,0.6214004860326147,0.01642636038309586,0.0
