hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,74.26693091045564,109,43.72248944695636,109,44.66065013606188,109
1,74.14612024895231,114,44.19382688805726,114,45.43744350456654,114
2,74.83615378216436,114,45.01584583484259,114,46.277678084421815,114
3,75.68061683306117,114,46.03241906814856,114,47.47979743713371,114
4,76.59802343409667,114,47.341881423535675,114,48.835158278021915,114
5,77.4383062632197,114,49.94342712835624,114,51.498247841576486,114
6,78.12962257384467,114,54.48795731762827,114,55.98264145273779,114
7,80.33079432148935,131,63.924890066036895,131,64.79581461258583,131
8,80.63057243768111,162,72.90247000418019,162,73.46309708095401,162
9,79.23409486628016,133,76.01785371914889,133,76.63981190446421,133
10,79.07570242448844,132,78.56067101162708,132,78.95768081840181,132
11,79.26428688443524,131,79.72569492037387,131,79.7986541592515,131
12,79.15202015769219,131,79.85176705457108,131,79.93807129931028,131
13,78.97648483710012,133,79.0832584841491,133,79.35845014981125,133
14,78.25085132771929,136,78.01765841084789,136,78.43342865299758,136
15,77.8681850051809,140,76.58967439588208,140,77.2137017137839,140
16,77.08556198388084,131,73.180091186071,131,73.79370367159653,131
17,77.2282132651806,121,70.91995818559863,121,71.63070147303269,121
18,77.33213422671494,108,67.41716864655862,108,68.47527304478999,108
19,75.14865645629318,108,61.57251947596149,108,62.87874359379151,108
20,73.40213634692772,123,52.905342737951734,123,54.35526342108727,123
21,71.85901390366767,126,48.34836690931396,126,49.55413541834943,126
22,71.63253725331684,115,45.69950920859332,115,46.84972175185237,115
23,72.84719637669815,102,46.66829156815919,102,47.85092906172839,102
