day_of_week,availability_ratio_observed,tick_count
Monday,0.6173873604090249,107103
Tuesday,0.6582874075868307,126590
Wednesday,0.7673576095607697,72188
Friday,0.520326461432975,55210
Saturday,0.6314560381930272,124201
Sunday,0.653082618191311,100323
