hour,mean_pct,median_pct,ticks,days
0,50.73431957871611,53.40929996296949,82,12
1,49.47002963416492,52.81833538065817,84,12
2,50.196344906596906,53.1236063070249,84,12
3,51.371170825412754,53.84836340143234,84,12
4,52.76190192394244,54.64757936597424,84,12
5,55.19022471929708,56.651590729091396,84,12
6,59.21313070605991,60.27004376056096,84,12
7,68.6059005024561,67.18599381621256,104,15
8,75.32943074490622,76.35436372576447,138,18
9,76.56588287715185,77.76119402985074,109,18
10,78.30984174427789,79.7516562495316,108,18
11,79.189840891074,81.39796364544944,107,18
12,79.19581622995601,81.78430631311767,107,18
13,78.63102165978295,81.60905247450883,109,19
14,77.46554392409772,80.99688456826408,112,19
15,76.14226969651097,79.6945922362494,116,19
16,73.2865040785091,76.34684991869067,107,19
17,71.23159149692141,74.8780871480258,97,18
18,68.6199467190243,71.35040245738531,84,15
19,63.5901439164556,65.67963113456383,84,15
20,56.826460681185935,59.27058964669186,93,17
21,51.7042640122711,55.84801816313271,96,17
22,49.078461471670785,55.017280419497084,85,14
23,50.37031419277693,54.22670733079615,72,11
