statId,statNm,addr,lat,lng,busiNm,delYn,chgerId,charger_count,first_baseline,compare_to
DC530029,진천트윈팰리스,대구광역시 달서구 월배로 71,35.8146327,128.5219756,대성물류건설(주),N,01,6,20260717,20260725
HM710135,두류역공영주차장,대구광역시 서구 달구벌대로 지하1760,35.8580807,128.5571196,휴맥스이브이,N,01,3,20260717,20260725
ME25C424,화산마을주차장,대구광역시 군위군 삼국유사면 화산길 619-17,36.0984704,128.7735435,기후부,N,21,4,20260717,20260725
PIS00557,대구 달성군 대실역청아람1단지아파트,대구광역시 달성군 다사읍 대실역북로 38,35.8607,128.4604,GS차지비,N,01,17,20260717,20260725
PIS00563,대구 동구 신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,GS차지비,N,01,13,20260717,20260725
ST601738,성서4주공아파트(입주민 전용),대구 달서구 성서동로 355-27,35.8513979,128.512928,SK일렉링크,N,01,5,20260717,20260725
TS271406,신천동 동아아파트,대구광역시 동구 화랑로11길 66,35.87421,128.630568,주식회사 태성콘텍,N,01,2,20260717,20260725
