date,HIGH,NORMAL
2026-07-17,9936,7426
2026-07-18,18081,13166
2026-07-19,14215,10970
2026-07-20,16091,13243
2026-07-21,19399,13943
2026-07-22,25325,19589
2026-07-23,50279,34332
2026-07-24,48716,36820
2026-07-25,45847,31974
2026-07-26,37476,28798
2026-07-27,41879,27053
2026-07-28,39180,28182
2026-07-29,38632,30905
2026-07-30,40763,31539
2026-07-31,10169,9439
