date,snapshots,rows_sum,gap_med,gap_max,gaps_gt25,first_ts,last_ts,avail_mean,avail_min,avail_max,avail_ticks
2026-07-17,33,17362,15.016666666666667,15.066666666666666,0,2026-07-17 13:41:56,2026-07-17 21:40:00,0.5092054841442055,0.42283133468307116,0.7184873949579831,33
2026-07-18,62,31247,15.016666666666667,580.1833333333333,1,2026-07-18 07:20:11,2026-07-18 22:36:21,0.6399895501912423,0.47960404655716304,0.841823056300268,62
2026-07-19,55,25185,15.016666666666667,553.1,1,2026-07-19 07:49:27,2026-07-19 21:02:33,0.6753063846289706,0.5153978812515397,0.8333333333333335,55
2026-07-20,64,29334,12.55,671.9833333333333,2,2026-07-20 08:14:32,2026-07-20 22:41:15,0.6102130715809171,0.30249307479224374,0.870201096892139,64
2026-07-21,72,33342,10.016666666666667,589.4,2,2026-07-21 08:30:39,2026-07-21 22:53:13,0.6524819947248164,0.31022530329289427,0.837979094076655,72
2026-07-22,94,44914,10.016666666666667,565.6833333333333,2,2026-07-22 08:18:54,2026-07-22 23:55:43,0.581649264586964,0.3005143277002204,0.8662420382165605,94
2026-07-23,192,84611,5.016666666666667,27.783333333333335,1,2026-07-23 00:00:44,2026-07-23 16:26:24,0.617175298465194,0.302931003094848,0.833970792767733,192
2026-07-24,182,85536,5.083333333333333,455.05,1,2026-07-24 00:01:27,2026-07-24 21:59:38,0.6377314696070089,0.4425377015080603,0.8298839458413927,182
2026-07-25,148,77821,10.016666666666667,589.4833333333333,1,2026-07-25 07:49:07,2026-07-25 23:54:57,0.7040448175254752,0.46069043212360183,0.8294736842105263,148
2026-07-26,143,66274,10.016666666666667,11.816666666666666,0,2026-07-26 00:04:58,2026-07-26 23:50:07,0.5918104107762453,0.4512881490289338,0.7396983474056433,143
2026-07-27,144,68932,10.016666666666667,12.116666666666667,0,2026-07-27 00:00:08,2026-07-27 23:56:26,0.660671244605274,0.5031716664464121,0.8200061938680706,144
2026-07-28,144,67362,10.016666666666667,11.883333333333333,0,2026-07-28 00:06:26,2026-07-28 23:53:52,0.6744890584537715,0.5191658273594407,0.8246238189665227,144
2026-07-29,143,69537,10.016666666666667,12.3,0,2026-07-29 00:03:53,2026-07-29 23:50:30,0.6815379613935962,0.5332992094636865,0.8329202343397927,143
2026-07-30,83,36138,10.016666666666667,12.433333333333334,0,2026-07-30 00:00:31,2026-07-30 13:45:44,0.6698681875127749,0.5385209713024283,0.8344001312982111,83
